MOGP_GENERATIONAL,6fba1550-154f-11f1-9378-303ea725c124,Boston,74,85,6.513846|7.000000|2.000000,0.027308225631713867,7.0,8.302429|7.000000|2.000000,6.513846|7.000000|2.000000,8.302429|7.000000|2.000000,7,89298739200.000000,N/A,2,5
MOGP_GENERATIONAL,6fba1550-154f-11f1-9378-303ea725c124,Boston,74,86,6.513846|7.000000|2.000000,0.02565288543701172,7.0,8.302429|7.000000|2.000000,6.513846|7.000000|2.000000,8.302429|7.000000|2.000000,7,101960294400.000000,N/A,2,5
MOGP_GENERATIONAL,6fba1550-154f-11f1-9378-303ea725c124,Boston,74,87,6.513846|7.000000|2.000000,0.02589559555053711,7.0,8.302429|7.000000|2.000000,6.513846|7.000000|2.000000,8.302429|7.000000|2.000000,7,83809796096.000000,N/A,2,5
MOGP_GENERATIONAL,6fba1550-154f-11f1-9378-303ea725c124,Boston,74,88,6.513846|7.000000|2.000000,0.026625871658325195,7.0,8.302429|7.000000|2.000000,6.513846|7.000000|2.000000,8.302429|7.000000|2.000000,7,65910861824.000000,N/A,2,5
MOGP_GENERATIONAL,6fba1550-154f-11f1-9378-303ea725c124,Boston,74,89,6.513846|7.000000|2.000000,0.026654481887817383,7.0,8.302429|7.000000|2.000000,6.513846|7.000000|2.000000,8.302429|7.000000|2.000000,7,101546631168.000000,N/A,2,5
MOGP_GENERATIONAL,6fba1550-154f-11f1-9378-303ea725c124,Boston,74,90,6.513846|7.000000|2.000000,0.025612354278564453,7.0,8.302429|7.000000|2.000000,6.513846|7.000000|2.000000,8.302429|7.000000|2.000000,7,52458860544.000000,N/A,2,5
MOGP_GENERATIONAL,6fba1550-154f-11f1-9378-303ea725c124,Boston,74,91,6.513846|7.000000|2.000000,0.02759242057800293,7.0,8.302429|7.000000|2.000000,6.513846|7.000000|2.000000,8.302429|7.000000|2.000000,7,96504291328.000000,N/A,2,5
MOGP_GENERATIONAL,6fba1550-154f-11f1-9378-303ea725c124,Boston,74,92,6.513846|7.000000|2.000000,0.02615809440612793,7.0,8.302429|7.000000|2.000000,6.513846|7.000000|2.000000,8.302429|7.000000|2.000000,7,29637621760.000000,N/A,2,5
MOGP_GENERATIONAL,6fba1550-154f-11f1-9378-303ea725c124,Boston,74,93,6.513846|7.000000|2.000000,0.026051759719848633,7.0,8.302429|7.000000|2.000000,6.513846|7.000000|2.000000,8.302429|7.000000|2.000000,7,41690038272.000000,N/A,2,5
MOGP_GENERATIONAL,6fba1550-154f-11f1-9378-303ea725c124,Boston,74,94,6.513846|7.000000|2.000000,0.02694988250732422,7.0,8.302429|7.000000|2.000000,6.513846|7.000000|2.000000,8.302429|7.000000|2.000000,7,70815096832.000000,N/A,2,5
