MOGP_GENERATIONAL,7cc0037a-1439-11f1-9378-303ea725c124,Cooling,74,95,4.541265|3.000000,0.020197391510009766,3.0,4.560205|3.000000,4.541265|3.000000,4.560205|3.000000,3,86299942912.000000,N/A,1,5
MOGP_GENERATIONAL,7cc0037a-1439-11f1-9378-303ea725c124,Cooling,74,96,4.541265|3.000000,0.01928114891052246,3.0,4.560205|3.000000,4.541265|3.000000,4.560205|3.000000,3,76690595840.000000,N/A,1,5
MOGP_GENERATIONAL,7cc0037a-1439-11f1-9378-303ea725c124,Cooling,74,97,4.541265|3.000000,0.018743276596069336,3.0,4.560205|3.000000,4.541265|3.000000,4.560205|3.000000,3,43045302272.000000,N/A,1,5
MOGP_GENERATIONAL,7cc0037a-1439-11f1-9378-303ea725c124,Cooling,74,98,4.541265|3.000000,0.019528865814208984,3.0,4.560205|3.000000,4.541265|3.000000,4.560205|3.000000,3,3539926016.000000,N/A,1,5
MOGP_GENERATIONAL,7cc0037a-1439-11f1-9378-303ea725c124,Cooling,74,99,4.541265|3.000000,0.019130706787109375,3.0,4.560205|3.000000,4.541265|3.000000,4.560205|3.000000,3,79009529856.000000,N/A,1,5
MOGP_GENERATIONAL,7cc0037a-1439-11f1-9378-303ea725c124,Cooling,74,100,4.541265|3.000000,0.019738197326660156,3.0,4.560205|3.000000,4.541265|3.000000,4.560205|3.000000,3,116297318400.000000,N/A,1,5
MOGP_GENERATIONAL,7cc0037a-1439-11f1-9378-303ea725c124,Cooling,74,101,4.541265|3.000000,0.01880788803100586,3.0,4.560205|3.000000,4.541265|3.000000,4.560205|3.000000,3,38848.273438,N/A,1,5
MOGP_GENERATIONAL,7cc0037a-1439-11f1-9378-303ea725c124,Cooling,74,102,4.541265|3.000000,0.019461631774902344,3.0,4.560205|3.000000,4.541265|3.000000,4.560205|3.000000,3,138634412032.000000,N/A,1,5
MOGP_GENERATIONAL,7cc0037a-1439-11f1-9378-303ea725c124,Cooling,74,103,4.432232|5.000000,0.019596576690673828,5.0,4.484612|5.000000,4.432232|5.000000,4.484612|5.000000,5,120175616000.000000,N/A,2,5
MOGP_GENERATIONAL,7cc0037a-1439-11f1-9378-303ea725c124,Cooling,74,104,4.432232|5.000000,0.01988840103149414,5.0,4.484612|5.000000,4.432232|5.000000,4.484612|5.000000,5,134392004608.000000,N/A,2,5
MOGP_GENERATIONAL,7cc0037a-1439-11f1-9378-303ea725c124,Cooling,74,105,4.432232|5.000000,0.019361019134521484,5.0,4.484612|5.000000,4.432232|5.000000,4.484612|5.000000,5,87189929984.000000,N/A,2,5
