MOGP_NSGAII,00206aac-ea1e-11f0-97f1-6e001b3eef54,Cooling,74,98,4.610571|3.000000,5.14555811882019,3.0,4.395564|3.000000,4.180654|7.000000,7,0.027430,N/A,5
MOGP_NSGAII,00206aac-ea1e-11f0-97f1-6e001b3eef54,Cooling,74,99,4.610571|3.000000,5.291949033737183,3.0,4.395564|3.000000,4.180654|7.000000,7,0.027430,N/A,5
MOGP_NSGAII,00206aac-ea1e-11f0-97f1-6e001b3eef54,Cooling,74,100,4.610571|3.000000,5.101168870925903,3.0,4.395564|3.000000,4.180654|7.000000,7,0.027430,N/A,5
MOGP_NSGAII,00206aac-ea1e-11f0-97f1-6e001b3eef54,Cooling,74,101,4.610571|3.000000,5.032713890075684,3.0,4.395564|3.000000,4.180654|7.000000,7,0.027430,N/A,5
MOGP_NSGAII,00206aac-ea1e-11f0-97f1-6e001b3eef54,Cooling,74,102,4.610571|3.000000,5.214757204055786,3.0,4.395564|3.000000,4.180654|7.000000,7,0.027430,N/A,5
MOGP_NSGAII,00206aac-ea1e-11f0-97f1-6e001b3eef54,Cooling,74,103,4.610571|3.000000,5.278442144393921,3.0,4.395564|3.000000,4.180654|7.000000,7,0.027430,N/A,5
MOGP_NSGAII,00206aac-ea1e-11f0-97f1-6e001b3eef54,Cooling,74,104,4.610571|3.000000,5.111479997634888,3.0,4.395564|3.000000,4.180654|7.000000,7,0.027430,N/A,5
MOGP_NSGAII,00206aac-ea1e-11f0-97f1-6e001b3eef54,Cooling,74,105,4.610571|3.000000,5.243949890136719,3.0,4.395564|3.000000,4.180654|7.000000,7,0.027430,N/A,5
MOGP_NSGAII,00206aac-ea1e-11f0-97f1-6e001b3eef54,Cooling,74,106,4.610571|3.000000,5.108489036560059,3.0,4.395564|3.000000,4.180654|7.000000,7,0.027430,N/A,5
MOGP_NSGAII,00206aac-ea1e-11f0-97f1-6e001b3eef54,Cooling,74,107,4.610571|3.000000,4.989068031311035,3.0,4.395564|3.000000,4.180654|7.000000,7,0.027430,N/A,5
MOGP_NSGAII,00206aac-ea1e-11f0-97f1-6e001b3eef54,Cooling,74,108,4.610571|3.000000,5.13527512550354,3.0,4.395564|3.000000,4.180654|7.000000,7,0.027430,N/A,5
MOGP_NSGAII,00206aac-ea1e-11f0-97f1-6e001b3eef54,Cooling,74,109,4.610571|3.000000,5.147362947463989,3.0,4.395564|3.000000,4.180654|7.000000,7,0.027430,N/A,5
MOGP_NSGAII,00206aac-ea1e-11f0-97f1-6e001b3eef54,Cooling,74,110,4.610571|3.000000,5.045303106307983,3.0,4.395564|3.000000,4.180654|7.000000,7,0.027430,N/A,5
MOGP_NSGAII,00206aac-ea1e-11f0-97f1-6e001b3eef54,Cooling,74,111,4.610571|3.000000,5.116039991378784,3.0,4.395564|3.000000,4.180654|7.000000,7,0.027430,N/A,5
MOGP_NSGAII,00206aac-ea1e-11f0-97f1-6e001b3eef54,Cooling,74,112,4.610571|3.000000,5.0758678913116455,3.0,4.395564|3.000000,4.180654|7.000000,7,0.027430,N/A,5
MOGP_NSGAII,00206aac-ea1e-11f0-97f1-6e001b3eef54,Cooling,74,113,4.610571|3.000000,5.112587928771973,3.0,4.395564|3.000000,4.180654|7.000000,7,0.027430,N/A,5
MOGP_NSGAII,00206aac-ea1e-11f0-97f1-6e001b3eef54,Cooling,74,114,4.610571|3.000000,5.139530897140503,3.0,4.395564|3.000000,4.180654|7.000000,7,0.027430,N/A,5
MOGP_NSGAII,00206aac-ea1e-11f0-97f1-6e001b3eef54,Cooling,74,115,4.610571|3.000000,5.068796157836914,3.0,4.395564|3.000000,4.180654|7.000000,7,0.027430,N/A,5
MOGP_NSGAII,00206aac-ea1e-11f0-97f1-6e001b3eef54,Cooling,74,116,4.610571|3.000000,5.392241954803467,3.0,4.395564|3.000000,4.180654|7.000000,7,0.027430,N/A,5
MOGP_NSGAII,00206aac-ea1e-11f0-97f1-6e001b3eef54,Cooling,74,117,4.610571|3.000000,5.276328086853027,3.0,4.395564|3.000000,4.180654|7.000000,7,0.027430,N/A,5
MOGP_NSGAII,00206aac-ea1e-11f0-97f1-6e001b3eef54,Cooling,74,118,4.610571|3.000000,5.139945030212402,3.0,4.395564|3.000000,4.180654|7.000000,7,0.027430,N/A,5
MOGP_NSGAII,00206aac-ea1e-11f0-97f1-6e001b3eef54,Cooling,74,119,4.610571|3.000000,5.332665681838989,3.0,4.395564|3.000000,4.180654|7.000000,7,0.027430,N/A,5
MOGP_NSGAII,00206aac-ea1e-11f0-97f1-6e001b3eef54,Cooling,74,120,4.610571|3.000000,5.305700778961182,3.0,4.395564|3.000000,4.180654|7.000000,7,0.027430,N/A,5
MOGP_NSGAII,00206aac-ea1e-11f0-97f1-6e001b3eef54,Cooling,74,121,4.610571|3.000000,5.159717798233032,3.0,4.395564|3.000000,4.180654|7.000000,7,0.027430,N/A,5
MOGP_NSGAII,00206aac-ea1e-11f0-97f1-6e001b3eef54,Cooling,74,122,4.610571|3.000000,5.319101810455322,3.0,4.395564|3.000000,4.180654|7.000000,7,0.027430,N/A,5
MOGP_NSGAII,00206aac-ea1e-11f0-97f1-6e001b3eef54,Cooling,74,123,4.610571|3.000000,5.1700439453125,3.0,4.395564|3.000000,4.180654|7.000000,7,0.027430,N/A,5
MOGP_NSGAII,00206aac-ea1e-11f0-97f1-6e001b3eef54,Cooling,74,124,4.610571|3.000000,5.3807151317596436,3.0,4.395564|3.000000,4.180654|7.000000,7,0.027430,N/A,5
MOGP_NSGAII,00206aac-ea1e-11f0-97f1-6e001b3eef54,Cooling,74,125,4.610571|3.000000,5.218268156051636,3.0,4.395564|3.000000,4.180654|7.000000,7,0.027430,N/A,5
MOGP_NSGAII,00206aac-ea1e-11f0-97f1-6e001b3eef54,Cooling,74,126,4.610571|3.000000,5.299849987030029,3.0,4.395564|3.000000,4.168764|7.000000,7,0.023903,N/A,5
MOGP_NSGAII,00206aac-ea1e-11f0-97f1-6e001b3eef54,Cooling,74,127,4.610571|3.000000,5.433411121368408,3.0,4.395564|3.000000,4.168764|7.000000,7,0.023903,N/A,5
MOGP_NSGAII,00206aac-ea1e-11f0-97f1-6e001b3eef54,Cooling,74,128,4.610571|3.000000,5.405013084411621,3.0,4.395564|3.000000,4.168764|7.000000,7,0.023903,N/A,5
MOGP_NSGAII,00206aac-ea1e-11f0-97f1-6e001b3eef54,Cooling,74,129,4.610571|3.000000,5.298369646072388,3.0,4.395564|3.000000,4.168764|7.000000,7,0.023903,N/A,5
MOGP_NSGAII,00206aac-ea1e-11f0-97f1-6e001b3eef54,Cooling,74,130,4.610571|3.000000,5.270108938217163,3.0,4.395564|3.000000,4.168764|7.000000,7,0.023903,N/A,5
MOGP_NSGAII,00206aac-ea1e-11f0-97f1-6e001b3eef54,Cooling,74,131,4.610571|3.000000,5.02998685836792,3.0,4.395564|3.000000,4.168764|7.000000,7,0.028009,N/A,5
MOGP_NSGAII,00206aac-ea1e-11f0-97f1-6e001b3eef54,Cooling,74,132,4.610571|3.000000,5.027865886688232,3.0,4.395564|3.000000,4.168764|7.000000,7,0.028009,N/A,5
MOGP_NSGAII,00206aac-ea1e-11f0-97f1-6e001b3eef54,Cooling,74,133,4.610571|3.000000,5.016579866409302,3.0,4.395564|3.000000,4.168764|7.000000,7,0.028009,N/A,5
MOGP_NSGAII,00206aac-ea1e-11f0-97f1-6e001b3eef54,Cooling,74,134,4.610571|3.000000,5.236871957778931,3.0,4.395564|3.000000,4.168764|7.000000,7,0.028009,N/A,5
MOGP_NSGAII,00206aac-ea1e-11f0-97f1-6e001b3eef54,Cooling,74,135,4.610571|3.000000,5.224522113800049,3.0,4.395564|3.000000,4.168764|7.000000,7,0.028009,N/A,5
MOGP_NSGAII,00206aac-ea1e-11f0-97f1-6e001b3eef54,Cooling,74,136,4.610571|3.000000,5.347506999969482,3.0,4.395564|3.000000,4.168764|7.000000,7,0.028009,N/A,5
