MOGP_GENERATIONAL,f4fa7c9a-1442-11f1-9378-303ea725c124,Cooling,74,76,4.585071|3.000000,0.019089460372924805,3.0,4.457140|3.000000,4.585071|3.000000,4.457140|3.000000,3,58753146880.000000,N/A,1,5
MOGP_GENERATIONAL,f4fa7c9a-1442-11f1-9378-303ea725c124,Cooling,74,77,4.585071|3.000000,0.02039194107055664,3.0,4.457140|3.000000,4.585071|3.000000,4.457140|3.000000,3,121979764736.000000,N/A,1,5
MOGP_GENERATIONAL,f4fa7c9a-1442-11f1-9378-303ea725c124,Cooling,74,78,4.585071|3.000000,0.018778324127197266,3.0,4.457140|3.000000,4.585071|3.000000,4.457140|3.000000,3,34231420928.000000,N/A,1,5
MOGP_GENERATIONAL,f4fa7c9a-1442-11f1-9378-303ea725c124,Cooling,74,79,4.585071|3.000000,0.019588232040405273,3.0,4.457140|3.000000,4.585071|3.000000,4.457140|3.000000,3,118676668416.000000,N/A,1,5
MOGP_GENERATIONAL,f4fa7c9a-1442-11f1-9378-303ea725c124,Cooling,74,80,4.585071|3.000000,0.019023895263671875,3.0,4.457140|3.000000,4.585071|3.000000,4.457140|3.000000,3,82416631808.000000,N/A,1,5
MOGP_GENERATIONAL,f4fa7c9a-1442-11f1-9378-303ea725c124,Cooling,74,81,4.585071|3.000000,0.020169734954833984,3.0,4.457140|3.000000,4.585071|3.000000,4.457140|3.000000,3,119424344064.000000,N/A,1,5
MOGP_GENERATIONAL,f4fa7c9a-1442-11f1-9378-303ea725c124,Cooling,74,82,4.585071|3.000000,0.018624067306518555,3.0,4.457140|3.000000,4.585071|3.000000,4.457140|3.000000,3,125622272000.000000,N/A,1,5
MOGP_GENERATIONAL,f4fa7c9a-1442-11f1-9378-303ea725c124,Cooling,74,83,4.585071|3.000000,0.019669532775878906,3.0,4.457140|3.000000,4.585071|3.000000,4.457140|3.000000,3,92858580992.000000,N/A,1,5
MOGP_GENERATIONAL,f4fa7c9a-1442-11f1-9378-303ea725c124,Cooling,74,84,4.585071|3.000000,0.019718408584594727,3.0,4.457140|3.000000,4.585071|3.000000,4.457140|3.000000,3,85416058880.000000,N/A,1,5
MOGP_GENERATIONAL,f4fa7c9a-1442-11f1-9378-303ea725c124,Cooling,74,85,4.585071|3.000000,0.020190954208374023,3.0,4.457140|3.000000,4.585071|3.000000,4.457140|3.000000,3,99498287104.000000,N/A,1,5
MOGP_GENERATIONAL,f4fa7c9a-1442-11f1-9378-303ea725c124,Cooling,74,86,4.585071|3.000000,0.020336627960205078,3.0,4.457140|3.000000,4.585071|3.000000,4.457140|3.000000,3,88003280896.000000,N/A,1,5
MOGP_GENERATIONAL,f4fa7c9a-1442-11f1-9378-303ea725c124,Cooling,74,87,4.585071|3.000000,0.0184171199798584,3.0,4.457140|3.000000,4.585071|3.000000,4.457140|3.000000,3,86277177344.000000,N/A,1,5
MOGP_GENERATIONAL,f4fa7c9a-1442-11f1-9378-303ea725c124,Cooling,74,88,4.585071|3.000000,0.01851201057434082,3.0,4.457140|3.000000,4.585071|3.000000,4.457140|3.000000,3,170888.640625,N/A,1,5
MOGP_GENERATIONAL,f4fa7c9a-1442-11f1-9378-303ea725c124,Cooling,74,89,4.585071|3.000000,0.019360065460205078,3.0,4.457140|3.000000,4.585071|3.000000,4.457140|3.000000,3,85971468288.000000,N/A,1,5
MOGP_GENERATIONAL,f4fa7c9a-1442-11f1-9378-303ea725c124,Cooling,74,90,4.585071|3.000000,0.01927018165588379,3.0,4.457140|3.000000,4.585071|3.000000,4.457140|3.000000,3,85224046592.000000,N/A,1,5
MOGP_GENERATIONAL,f4fa7c9a-1442-11f1-9378-303ea725c124,Cooling,74,91,4.585071|3.000000,0.019159793853759766,3.0,4.457140|3.000000,4.585071|3.000000,4.457140|3.000000,3,119863787520.000000,N/A,1,5
MOGP_GENERATIONAL,f4fa7c9a-1442-11f1-9378-303ea725c124,Cooling,74,92,4.585071|3.000000,0.020602941513061523,3.0,4.457140|3.000000,4.585071|3.000000,4.457140|3.000000,3,99498754048.000000,N/A,1,5
MOGP_GENERATIONAL,f4fa7c9a-1442-11f1-9378-303ea725c124,Cooling,74,93,4.585071|3.000000,0.01858997344970703,3.0,4.457140|3.000000,4.585071|3.000000,4.457140|3.000000,3,49937469440.000000,N/A,1,5
MOGP_GENERATIONAL,f4fa7c9a-1442-11f1-9378-303ea725c124,Cooling,74,94,4.585071|3.000000,0.01977705955505371,3.0,4.457140|3.000000,4.585071|3.000000,4.457140|3.000000,3,110119108608.000000,N/A,1,5
MOGP_GENERATIONAL,f4fa7c9a-1442-11f1-9378-303ea725c124,Cooling,74,95,4.585071|3.000000,0.020412683486938477,3.0,4.457140|3.000000,4.585071|3.000000,4.457140|3.000000,3,119648460800.000000,N/A,1,5
