MOGP_GENERATIONAL,3bd24c04-156c-11f1-9378-303ea725c124,Boston,74,90,6.970441|7.000000|2.000000,0.02602076530456543,7.0,7.388593|7.000000|2.000000,6.970441|7.000000|2.000000,7.388593|7.000000|2.000000,7,58536222720.000000,N/A,2,5
MOGP_GENERATIONAL,3bd24c04-156c-11f1-9378-303ea725c124,Boston,74,91,6.970441|7.000000|2.000000,0.027681827545166016,7.0,7.388593|7.000000|2.000000,6.970441|7.000000|2.000000,7.388593|7.000000|2.000000,7,94185422848.000000,N/A,2,5
MOGP_GENERATIONAL,3bd24c04-156c-11f1-9378-303ea725c124,Boston,74,92,6.970441|7.000000|2.000000,0.02658987045288086,7.0,7.388593|7.000000|2.000000,6.970441|7.000000|2.000000,7.388593|7.000000|2.000000,7,46528270336.000000,N/A,2,5
MOGP_GENERATIONAL,3bd24c04-156c-11f1-9378-303ea725c124,Boston,74,93,6.970441|7.000000|2.000000,0.02601337432861328,7.0,7.388593|7.000000|2.000000,6.970441|7.000000|2.000000,7.388593|7.000000|2.000000,7,76938559488.000000,N/A,2,5
MOGP_GENERATIONAL,3bd24c04-156c-11f1-9378-303ea725c124,Boston,74,94,6.970441|7.000000|2.000000,0.06563138961791992,7.0,7.388593|7.000000|2.000000,6.970441|7.000000|2.000000,7.388593|7.000000|2.000000,7,87347486720.000000,N/A,2,5
MOGP_GENERATIONAL,3bd24c04-156c-11f1-9378-303ea725c124,Boston,74,95,6.970441|7.000000|2.000000,0.026692628860473633,7.0,7.388593|7.000000|2.000000,6.970441|7.000000|2.000000,7.388593|7.000000|2.000000,7,91122851840.000000,N/A,2,5
MOGP_GENERATIONAL,3bd24c04-156c-11f1-9378-303ea725c124,Boston,74,96,6.970441|7.000000|2.000000,0.028029441833496094,7.0,7.388593|7.000000|2.000000,6.970441|7.000000|2.000000,7.388593|7.000000|2.000000,7,77223878656.000000,N/A,2,5
MOGP_GENERATIONAL,3bd24c04-156c-11f1-9378-303ea725c124,Boston,74,97,6.970441|7.000000|2.000000,0.026577234268188477,7.0,7.388593|7.000000|2.000000,6.970441|7.000000|2.000000,7.388593|7.000000|2.000000,7,92341936128.000000,N/A,2,5
MOGP_GENERATIONAL,3bd24c04-156c-11f1-9378-303ea725c124,Boston,74,98,6.970441|7.000000|2.000000,0.026465892791748047,7.0,7.388593|7.000000|2.000000,6.970441|7.000000|2.000000,7.388593|7.000000|2.000000,7,55790149632.000000,N/A,2,5
MOGP_GENERATIONAL,3bd24c04-156c-11f1-9378-303ea725c124,Boston,74,99,6.970441|7.000000|2.000000,0.025273799896240234,7.0,7.388593|7.000000|2.000000,6.970441|7.000000|2.000000,7.388593|7.000000|2.000000,7,55563808768.000000,N/A,2,5
MOGP_GENERATIONAL,3bd24c04-156c-11f1-9378-303ea725c124,Boston,74,100,6.970441|7.000000|2.000000,0.026180028915405273,7.0,7.388593|7.000000|2.000000,6.970441|7.000000|2.000000,7.388593|7.000000|2.000000,7,78118338560.000000,N/A,2,5
MOGP_GENERATIONAL,3bd24c04-156c-11f1-9378-303ea725c124,Boston,74,101,6.970441|7.000000|2.000000,0.026775360107421875,7.0,7.388593|7.000000|2.000000,6.970441|7.000000|2.000000,7.388593|7.000000|2.000000,7,50236469248.000000,N/A,2,5
