MOGP_NSGAII,74c47fd8-e965-11f0-a117-6e001b3eef54,Cooling,74,122,4.484513|3.000000,5.180720090866089,3.0,4.688949|3.000000,4.278947|7.000000,7,0.047003,N/A,5
MOGP_NSGAII,74c47fd8-e965-11f0-a117-6e001b3eef54,Cooling,74,123,4.484513|3.000000,5.2246599197387695,3.0,4.688949|3.000000,4.278947|7.000000,7,0.047003,N/A,5
MOGP_NSGAII,74c47fd8-e965-11f0-a117-6e001b3eef54,Cooling,74,124,4.484513|3.000000,5.040366888046265,3.0,4.688949|3.000000,4.278947|7.000000,7,0.047003,N/A,5
MOGP_NSGAII,74c47fd8-e965-11f0-a117-6e001b3eef54,Cooling,74,125,4.484513|3.000000,5.280148983001709,3.0,4.688949|3.000000,4.278947|7.000000,7,0.047003,N/A,5
MOGP_NSGAII,74c47fd8-e965-11f0-a117-6e001b3eef54,Cooling,74,126,4.484513|3.000000,5.090307950973511,3.0,4.688949|3.000000,4.278947|7.000000,7,0.047003,N/A,5
MOGP_NSGAII,74c47fd8-e965-11f0-a117-6e001b3eef54,Cooling,74,127,4.484513|3.000000,5.365086793899536,3.0,4.688949|3.000000,4.278947|7.000000,7,0.047003,N/A,5
MOGP_NSGAII,74c47fd8-e965-11f0-a117-6e001b3eef54,Cooling,74,128,4.484513|3.000000,5.3117170333862305,3.0,4.688949|3.000000,4.278947|7.000000,7,0.047003,N/A,5
MOGP_NSGAII,74c47fd8-e965-11f0-a117-6e001b3eef54,Cooling,74,129,4.484513|3.000000,5.537477731704712,3.0,4.688949|3.000000,4.278947|7.000000,7,0.047003,N/A,5
MOGP_NSGAII,74c47fd8-e965-11f0-a117-6e001b3eef54,Cooling,74,130,4.484513|3.000000,5.8665220737457275,3.0,4.688949|3.000000,4.278947|7.000000,7,0.047003,N/A,5
MOGP_NSGAII,74c47fd8-e965-11f0-a117-6e001b3eef54,Cooling,74,131,4.484513|3.000000,5.27345609664917,3.0,4.688949|3.000000,4.278947|7.000000,7,0.047003,N/A,5
MOGP_NSGAII,74c47fd8-e965-11f0-a117-6e001b3eef54,Cooling,74,132,4.484513|3.000000,5.594826936721802,3.0,4.688949|3.000000,4.278947|7.000000,7,0.047003,N/A,5
MOGP_NSGAII,74c47fd8-e965-11f0-a117-6e001b3eef54,Cooling,74,133,4.484513|3.000000,5.682293176651001,3.0,4.688949|3.000000,4.278947|7.000000,7,0.047003,N/A,5
MOGP_NSGAII,74c47fd8-e965-11f0-a117-6e001b3eef54,Cooling,74,134,4.484513|3.000000,5.195485830307007,3.0,4.688949|3.000000,4.278947|7.000000,7,0.047003,N/A,5
MOGP_NSGAII,74c47fd8-e965-11f0-a117-6e001b3eef54,Cooling,74,135,4.484513|3.000000,5.287006378173828,3.0,4.688949|3.000000,4.278947|7.000000,7,0.047003,N/A,5
MOGP_NSGAII,74c47fd8-e965-11f0-a117-6e001b3eef54,Cooling,74,136,4.484513|3.000000,5.111209154129028,3.0,4.688949|3.000000,4.278947|7.000000,7,0.047003,N/A,5
MOGP_NSGAII,74c47fd8-e965-11f0-a117-6e001b3eef54,Cooling,74,137,4.484513|3.000000,5.320418119430542,3.0,4.688949|3.000000,4.278947|7.000000,7,0.047003,N/A,5
