MOGP_GENERATIONAL,0953b010-151c-11f1-9378-303ea725c124,Cooling,74,82,4.605806|3.000000|1.000000,0.026511669158935547,3.0,4.407163|3.000000|1.000000,4.605806|3.000000|1.000000,4.407163|3.000000|1.000000,3,111481061376.000000,N/A,2,5
MOGP_GENERATIONAL,0953b010-151c-11f1-9378-303ea725c124,Cooling,74,83,4.605806|3.000000|1.000000,0.027665138244628906,3.0,4.407163|3.000000|1.000000,4.605806|3.000000|1.000000,4.407163|3.000000|1.000000,3,115525033984.000000,N/A,2,5
MOGP_GENERATIONAL,0953b010-151c-11f1-9378-303ea725c124,Cooling,74,84,4.605806|3.000000|1.000000,0.02697134017944336,3.0,4.407163|3.000000|1.000000,4.605806|3.000000|1.000000,4.407163|3.000000|1.000000,3,82388598784.000000,N/A,2,5
MOGP_GENERATIONAL,0953b010-151c-11f1-9378-303ea725c124,Cooling,74,85,4.605806|3.000000|1.000000,0.026709556579589844,3.0,4.407163|3.000000|1.000000,4.605806|3.000000|1.000000,4.407163|3.000000|1.000000,3,78340661248.000000,N/A,2,5
MOGP_GENERATIONAL,0953b010-151c-11f1-9378-303ea725c124,Cooling,74,86,4.605806|3.000000|1.000000,0.02628612518310547,3.0,4.407163|3.000000|1.000000,4.605806|3.000000|1.000000,4.407163|3.000000|1.000000,3,118047825920.000000,N/A,2,5
MOGP_GENERATIONAL,0953b010-151c-11f1-9378-303ea725c124,Cooling,74,87,4.605806|3.000000|1.000000,0.028200149536132812,3.0,4.407163|3.000000|1.000000,4.605806|3.000000|1.000000,4.407163|3.000000|1.000000,3,94438465536.000000,N/A,2,5
MOGP_GENERATIONAL,0953b010-151c-11f1-9378-303ea725c124,Cooling,74,88,4.605806|3.000000|1.000000,0.026410818099975586,3.0,4.407163|3.000000|1.000000,4.605806|3.000000|1.000000,4.407163|3.000000|1.000000,3,70533652480.000000,N/A,2,5
MOGP_GENERATIONAL,0953b010-151c-11f1-9378-303ea725c124,Cooling,74,89,4.605806|3.000000|1.000000,0.027245521545410156,3.0,4.407163|3.000000|1.000000,4.605806|3.000000|1.000000,4.407163|3.000000|1.000000,3,69085184000.000000,N/A,2,5
MOGP_GENERATIONAL,0953b010-151c-11f1-9378-303ea725c124,Cooling,74,90,4.605806|3.000000|1.000000,0.026175260543823242,3.0,4.407163|3.000000|1.000000,4.605806|3.000000|1.000000,4.407163|3.000000|1.000000,3,70533267456.000000,N/A,2,5
MOGP_GENERATIONAL,0953b010-151c-11f1-9378-303ea725c124,Cooling,74,91,4.605806|3.000000|1.000000,0.02694225311279297,3.0,4.407163|3.000000|1.000000,4.605806|3.000000|1.000000,4.407163|3.000000|1.000000,3,97147944960.000000,N/A,2,5
MOGP_GENERATIONAL,0953b010-151c-11f1-9378-303ea725c124,Cooling,74,92,4.605806|3.000000|1.000000,0.026968002319335938,3.0,4.407163|3.000000|1.000000,4.605806|3.000000|1.000000,4.407163|3.000000|1.000000,3,23247267840.000000,N/A,2,5
MOGP_GENERATIONAL,0953b010-151c-11f1-9378-303ea725c124,Cooling,74,93,4.605806|3.000000|1.000000,0.02647542953491211,3.0,4.407163|3.000000|1.000000,4.605806|3.000000|1.000000,4.407163|3.000000|1.000000,3,1370429.750000,N/A,2,5
MOGP_GENERATIONAL,0953b010-151c-11f1-9378-303ea725c124,Cooling,74,94,4.605806|3.000000|1.000000,0.027287960052490234,3.0,4.407163|3.000000|1.000000,4.605806|3.000000|1.000000,4.407163|3.000000|1.000000,3,96714383360.000000,N/A,2,5
MOGP_GENERATIONAL,0953b010-151c-11f1-9378-303ea725c124,Cooling,74,95,4.605806|3.000000|1.000000,0.026692628860473633,3.0,4.407163|3.000000|1.000000,4.605806|3.000000|1.000000,4.407163|3.000000|1.000000,3,48143798272.000000,N/A,2,5
MOGP_GENERATIONAL,0953b010-151c-11f1-9378-303ea725c124,Cooling,74,96,4.605806|3.000000|1.000000,0.027080059051513672,3.0,4.407163|3.000000|1.000000,4.605806|3.000000|1.000000,4.407163|3.000000|1.000000,3,120870100992.000000,N/A,2,5
MOGP_GENERATIONAL,0953b010-151c-11f1-9378-303ea725c124,Cooling,74,97,4.605806|3.000000|1.000000,0.026634931564331055,3.0,4.407163|3.000000|1.000000,4.605806|3.000000|1.000000,4.407163|3.000000|1.000000,3,70533332992.000000,N/A,2,5
MOGP_GENERATIONAL,0953b010-151c-11f1-9378-303ea725c124,Cooling,74,98,4.605806|3.000000|1.000000,0.026656389236450195,3.0,4.407163|3.000000|1.000000,4.605806|3.000000|1.000000,4.407163|3.000000|1.000000,3,60498460672.000000,N/A,2,5
MOGP_GENERATIONAL,0953b010-151c-11f1-9378-303ea725c124,Cooling,74,99,4.605806|3.000000|1.000000,0.026242733001708984,3.0,4.407163|3.000000|1.000000,4.605806|3.000000|1.000000,4.407163|3.000000|1.000000,3,96490242048.000000,N/A,2,5
MOGP_GENERATIONAL,0953b010-151c-11f1-9378-303ea725c124,Cooling,74,100,4.605806|3.000000|1.000000,0.02646160125732422,3.0,4.407163|3.000000|1.000000,4.605806|3.000000|1.000000,4.407163|3.000000|1.000000,3,49969885184.000000,N/A,2,5
MOGP_GENERATIONAL,0953b010-151c-11f1-9378-303ea725c124,Cooling,74,101,4.605806|3.000000|1.000000,0.028508901596069336,3.0,4.407163|3.000000|1.000000,4.605806|3.000000|1.000000,4.407163|3.000000|1.000000,3,110895898624.000000,N/A,2,5
