MOGP_GENERATIONAL,c79e38ba-147c-11f1-9378-303ea725c124,Boston,74,63,7.700258|23.000000|3.000000,0.02688741683959961,23.0,7.602951|23.000000|3.000000,7.700258|23.000000|3.000000,7.602951|23.000000|3.000000,23,90622435328.000000,N/A,2,5
MOGP_GENERATIONAL,c79e38ba-147c-11f1-9378-303ea725c124,Boston,74,64,7.700258|23.000000|3.000000,0.026748180389404297,23.0,7.602951|23.000000|3.000000,7.700258|23.000000|3.000000,7.602951|23.000000|3.000000,23,81200185344.000000,N/A,2,5
MOGP_GENERATIONAL,c79e38ba-147c-11f1-9378-303ea725c124,Boston,74,65,7.700258|23.000000|3.000000,0.025930166244506836,23.0,7.602951|23.000000|3.000000,7.700258|23.000000|3.000000,7.602951|23.000000|3.000000,23,71840202752.000000,N/A,2,5
MOGP_GENERATIONAL,c79e38ba-147c-11f1-9378-303ea725c124,Boston,74,66,7.700258|23.000000|3.000000,0.026380538940429688,23.0,7.602951|23.000000|3.000000,7.700258|23.000000|3.000000,7.602951|23.000000|3.000000,23,103704125440.000000,N/A,2,5
MOGP_GENERATIONAL,c79e38ba-147c-11f1-9378-303ea725c124,Boston,74,67,7.700258|23.000000|3.000000,0.026509761810302734,23.0,7.602951|23.000000|3.000000,7.700258|23.000000|3.000000,7.602951|23.000000|3.000000,23,113062412288.000000,N/A,2,5
MOGP_GENERATIONAL,c79e38ba-147c-11f1-9378-303ea725c124,Boston,74,68,7.700258|23.000000|3.000000,0.026447296142578125,23.0,7.602951|23.000000|3.000000,7.700258|23.000000|3.000000,7.602951|23.000000|3.000000,23,75087233024.000000,N/A,2,5
MOGP_GENERATIONAL,c79e38ba-147c-11f1-9378-303ea725c124,Boston,74,69,7.700258|23.000000|3.000000,0.026085853576660156,23.0,7.602951|23.000000|3.000000,7.700258|23.000000|3.000000,7.602951|23.000000|3.000000,23,54444761088.000000,N/A,2,5
MOGP_GENERATIONAL,c79e38ba-147c-11f1-9378-303ea725c124,Boston,74,70,7.700258|23.000000|3.000000,0.026976585388183594,23.0,7.602951|23.000000|3.000000,7.700258|23.000000|3.000000,7.602951|23.000000|3.000000,23,106099662848.000000,N/A,2,5
MOGP_GENERATIONAL,c79e38ba-147c-11f1-9378-303ea725c124,Boston,74,71,7.700258|23.000000|3.000000,0.027440547943115234,23.0,7.602951|23.000000|3.000000,7.700258|23.000000|3.000000,7.602951|23.000000|3.000000,23,89870073856.000000,N/A,2,5
MOGP_GENERATIONAL,c79e38ba-147c-11f1-9378-303ea725c124,Boston,74,72,7.700258|23.000000|3.000000,0.02554917335510254,23.0,7.602951|23.000000|3.000000,7.700258|23.000000|3.000000,7.602951|23.000000|3.000000,23,89224478720.000000,N/A,2,5
MOGP_GENERATIONAL,c79e38ba-147c-11f1-9378-303ea725c124,Boston,74,73,7.700258|23.000000|3.000000,0.02634429931640625,23.0,7.602951|23.000000|3.000000,7.700258|23.000000|3.000000,7.602951|23.000000|3.000000,23,72245518336.000000,N/A,2,5
