MOGP_GENERATIONAL,3e263450-145b-11f1-9378-303ea725c124,Cooling,74,60,4.598747|3.000000|1.000000,0.026793241500854492,3.0,4.424264|3.000000|1.000000,4.598747|3.000000|1.000000,4.424264|3.000000|1.000000,3,57885466624.000000,N/A,2,5
MOGP_GENERATIONAL,3e263450-145b-11f1-9378-303ea725c124,Cooling,74,61,4.598747|3.000000|1.000000,0.026329517364501953,3.0,4.424264|3.000000|1.000000,4.598747|3.000000|1.000000,4.424264|3.000000|1.000000,3,50004762624.000000,N/A,2,5
MOGP_GENERATIONAL,3e263450-145b-11f1-9378-303ea725c124,Cooling,74,62,4.598747|3.000000|1.000000,0.026650667190551758,3.0,4.424264|3.000000|1.000000,4.598747|3.000000|1.000000,4.424264|3.000000|1.000000,3,68143001600.000000,N/A,2,5
MOGP_GENERATIONAL,3e263450-145b-11f1-9378-303ea725c124,Cooling,74,63,4.598747|3.000000|1.000000,0.02713799476623535,3.0,4.424264|3.000000|1.000000,4.598747|3.000000|1.000000,4.424264|3.000000|1.000000,3,106485170176.000000,N/A,2,5
MOGP_GENERATIONAL,3e263450-145b-11f1-9378-303ea725c124,Cooling,74,64,4.598747|3.000000|1.000000,0.02644634246826172,3.0,4.424264|3.000000|1.000000,4.598747|3.000000|1.000000,4.424264|3.000000|1.000000,3,86276603904.000000,N/A,2,5
MOGP_GENERATIONAL,3e263450-145b-11f1-9378-303ea725c124,Cooling,74,65,4.598747|3.000000|1.000000,0.026394367218017578,3.0,4.424264|3.000000|1.000000,4.598747|3.000000|1.000000,4.424264|3.000000|1.000000,3,92841033728.000000,N/A,2,5
MOGP_GENERATIONAL,3e263450-145b-11f1-9378-303ea725c124,Cooling,74,66,4.598747|3.000000|1.000000,0.02610468864440918,3.0,4.424264|3.000000|1.000000,4.598747|3.000000|1.000000,4.424264|3.000000|1.000000,3,83409977344.000000,N/A,2,5
MOGP_GENERATIONAL,3e263450-145b-11f1-9378-303ea725c124,Cooling,74,67,4.598747|3.000000|1.000000,0.026654481887817383,3.0,4.424264|3.000000|1.000000,4.598747|3.000000|1.000000,4.424264|3.000000|1.000000,3,105833897984.000000,N/A,2,5
MOGP_GENERATIONAL,3e263450-145b-11f1-9378-303ea725c124,Cooling,74,68,4.598747|3.000000|1.000000,0.0266268253326416,3.0,4.424264|3.000000|1.000000,4.598747|3.000000|1.000000,4.424264|3.000000|1.000000,3,110376042496.000000,N/A,2,5
MOGP_GENERATIONAL,3e263450-145b-11f1-9378-303ea725c124,Cooling,74,69,4.598747|3.000000|1.000000,0.026911497116088867,3.0,4.424264|3.000000|1.000000,4.598747|3.000000|1.000000,4.424264|3.000000|1.000000,3,81814626304.000000,N/A,2,5
