MOGP_GENERATIONAL,8b1b436d-1347-11f1-a293-b751108eed3b,Cooling,74,74,4.338696|7.000000|1.000000,0.06582522392272949,7.0,4.478668|7.000000|1.000000,4.338696|7.000000|1.000000,4.478668|7.000000|1.000000,7,79539281920.000000,N/A,2,5
MOGP_GENERATIONAL,8b1b436d-1347-11f1-a293-b751108eed3b,Cooling,74,75,4.338696|7.000000|1.000000,0.13265204429626465,7.0,4.478668|7.000000|1.000000,4.338696|7.000000|1.000000,4.478668|7.000000|1.000000,7,83718250496.000000,N/A,2,5
MOGP_GENERATIONAL,8b1b436d-1347-11f1-a293-b751108eed3b,Cooling,74,76,4.338696|7.000000|1.000000,0.0672447681427002,7.0,4.478668|7.000000|1.000000,4.338696|7.000000|1.000000,4.478668|7.000000|1.000000,7,68805550080.000000,N/A,2,5
MOGP_GENERATIONAL,8b1b436d-1347-11f1-a293-b751108eed3b,Cooling,74,77,4.338696|7.000000|1.000000,0.06719183921813965,7.0,4.478668|7.000000|1.000000,4.338696|7.000000|1.000000,4.478668|7.000000|1.000000,7,82417344512.000000,N/A,2,5
MOGP_GENERATIONAL,8b1b436d-1347-11f1-a293-b751108eed3b,Cooling,74,78,4.338696|7.000000|1.000000,0.06520795822143555,7.0,4.478668|7.000000|1.000000,4.338696|7.000000|1.000000,4.478668|7.000000|1.000000,7,156266496000.000000,N/A,2,5
MOGP_GENERATIONAL,8b1b436d-1347-11f1-a293-b751108eed3b,Cooling,74,79,4.338696|7.000000|1.000000,0.07628440856933594,7.0,4.478668|7.000000|1.000000,4.338696|7.000000|1.000000,4.478668|7.000000|1.000000,7,111098986496.000000,N/A,2,5
MOGP_GENERATIONAL,8b1b436d-1347-11f1-a293-b751108eed3b,Cooling,74,80,4.338696|7.000000|1.000000,0.06665706634521484,7.0,4.478668|7.000000|1.000000,4.338696|7.000000|1.000000,4.478668|7.000000|1.000000,7,105527885824.000000,N/A,2,5
MOGP_GENERATIONAL,8b1b436d-1347-11f1-a293-b751108eed3b,Cooling,74,81,4.338696|7.000000|1.000000,0.0639338493347168,7.0,4.478668|7.000000|1.000000,4.338696|7.000000|1.000000,4.478668|7.000000|1.000000,7,96153550848.000000,N/A,2,5
MOGP_GENERATIONAL,8b1b436d-1347-11f1-a293-b751108eed3b,Cooling,74,82,4.338696|7.000000|1.000000,0.06675934791564941,7.0,4.478668|7.000000|1.000000,4.338696|7.000000|1.000000,4.478668|7.000000|1.000000,7,113762484224.000000,N/A,2,5
MOGP_GENERATIONAL,8b1b436d-1347-11f1-a293-b751108eed3b,Cooling,74,83,4.338696|7.000000|1.000000,0.06477665901184082,7.0,4.478668|7.000000|1.000000,4.338696|7.000000|1.000000,4.478668|7.000000|1.000000,7,115697639424.000000,N/A,2,5
MOGP_GENERATIONAL,8b1b436d-1347-11f1-a293-b751108eed3b,Cooling,74,84,4.338696|7.000000|1.000000,0.05864596366882324,7.0,4.478668|7.000000|1.000000,4.338696|7.000000|1.000000,4.478668|7.000000|1.000000,7,87486529536.000000,N/A,2,5
MOGP_GENERATIONAL,8b1b436d-1347-11f1-a293-b751108eed3b,Cooling,74,85,4.338696|7.000000|1.000000,0.06105804443359375,7.0,4.478668|7.000000|1.000000,4.338696|7.000000|1.000000,4.478668|7.000000|1.000000,7,50041606144.000000,N/A,2,5
MOGP_GENERATIONAL,8b1b436d-1347-11f1-a293-b751108eed3b,Cooling,74,86,4.338696|7.000000|1.000000,0.06563496589660645,7.0,4.478668|7.000000|1.000000,4.338696|7.000000|1.000000,4.478668|7.000000|1.000000,7,93043695616.000000,N/A,2,5
MOGP_GENERATIONAL,8b1b436d-1347-11f1-a293-b751108eed3b,Cooling,74,87,4.338696|7.000000|1.000000,0.06669497489929199,7.0,4.478668|7.000000|1.000000,4.338696|7.000000|1.000000,4.478668|7.000000|1.000000,7,107585986560.000000,N/A,2,5
MOGP_GENERATIONAL,8b1b436d-1347-11f1-a293-b751108eed3b,Cooling,74,88,4.338696|7.000000|1.000000,0.06548285484313965,7.0,4.478668|7.000000|1.000000,4.338696|7.000000|1.000000,4.478668|7.000000|1.000000,7,68165742592.000000,N/A,2,5
MOGP_GENERATIONAL,8b1b436d-1347-11f1-a293-b751108eed3b,Cooling,74,89,4.338696|7.000000|1.000000,0.06430745124816895,7.0,4.478668|7.000000|1.000000,4.338696|7.000000|1.000000,4.478668|7.000000|1.000000,7,100901470208.000000,N/A,2,5
MOGP_GENERATIONAL,8b1b436d-1347-11f1-a293-b751108eed3b,Cooling,74,90,4.338696|7.000000|1.000000,0.05107283592224121,7.0,4.478668|7.000000|1.000000,4.338696|7.000000|1.000000,4.478668|7.000000|1.000000,7,61118717952.000000,N/A,2,5
MOGP_GENERATIONAL,8b1b436d-1347-11f1-a293-b751108eed3b,Cooling,74,91,4.338696|7.000000|1.000000,0.06667399406433105,7.0,4.478668|7.000000|1.000000,4.338696|7.000000|1.000000,4.478668|7.000000|1.000000,7,105378037760.000000,N/A,2,5
MOGP_GENERATIONAL,8b1b436d-1347-11f1-a293-b751108eed3b,Cooling,74,92,4.338696|7.000000|1.000000,0.06795096397399902,7.0,4.478668|7.000000|1.000000,4.338696|7.000000|1.000000,4.478668|7.000000|1.000000,7,85272936448.000000,N/A,2,5
MOGP_GENERATIONAL,8b1b436d-1347-11f1-a293-b751108eed3b,Cooling,74,93,4.338696|7.000000|1.000000,0.05015754699707031,7.0,4.478668|7.000000|1.000000,4.338696|7.000000|1.000000,4.478668|7.000000|1.000000,7,24637282304.000000,N/A,2,5
