MOGP_GENERATIONAL,7cf91b6c-1455-11f1-9378-303ea725c124,Cooling,74,89,4.610571|3.000000,0.01922440528869629,3.0,4.395564|3.000000,4.610571|3.000000,4.395564|3.000000,3,85673558016.000000,N/A,1,5
MOGP_GENERATIONAL,7cf91b6c-1455-11f1-9378-303ea725c124,Cooling,74,90,4.610571|3.000000,0.018500089645385742,3.0,4.395564|3.000000,4.610571|3.000000,4.395564|3.000000,3,38076194816.000000,N/A,1,5
MOGP_GENERATIONAL,7cf91b6c-1455-11f1-9378-303ea725c124,Cooling,74,91,4.610571|3.000000,0.018804550170898438,3.0,4.395564|3.000000,4.610571|3.000000,4.395564|3.000000,3,82975039488.000000,N/A,1,5
MOGP_GENERATIONAL,7cf91b6c-1455-11f1-9378-303ea725c124,Cooling,74,92,4.610571|3.000000,0.020620107650756836,3.0,4.395564|3.000000,4.610571|3.000000,4.395564|3.000000,3,86276014080.000000,N/A,1,5
MOGP_GENERATIONAL,7cf91b6c-1455-11f1-9378-303ea725c124,Cooling,74,93,4.610571|3.000000,0.019071102142333984,3.0,4.395564|3.000000,4.610571|3.000000,4.395564|3.000000,3,58557943808.000000,N/A,1,5
MOGP_GENERATIONAL,7cf91b6c-1455-11f1-9378-303ea725c124,Cooling,74,94,4.610571|3.000000,0.018457412719726562,3.0,4.395564|3.000000,4.610571|3.000000,4.395564|3.000000,3,35735982080.000000,N/A,1,5
MOGP_GENERATIONAL,7cf91b6c-1455-11f1-9378-303ea725c124,Cooling,74,95,4.610571|3.000000,0.020184993743896484,3.0,4.395564|3.000000,4.610571|3.000000,4.395564|3.000000,3,130511421440.000000,N/A,1,5
MOGP_GENERATIONAL,7cf91b6c-1455-11f1-9378-303ea725c124,Cooling,74,96,4.610571|3.000000,0.019347190856933594,3.0,4.395564|3.000000,4.610571|3.000000,4.395564|3.000000,3,123797291008.000000,N/A,1,5
MOGP_GENERATIONAL,7cf91b6c-1455-11f1-9378-303ea725c124,Cooling,74,97,4.610571|3.000000,0.019695758819580078,3.0,4.395564|3.000000,4.610571|3.000000,4.395564|3.000000,3,118708617216.000000,N/A,1,5
MOGP_GENERATIONAL,7cf91b6c-1455-11f1-9378-303ea725c124,Cooling,74,98,4.610571|3.000000,0.018932819366455078,3.0,4.395564|3.000000,4.610571|3.000000,4.395564|3.000000,3,82446114816.000000,N/A,1,5
MOGP_GENERATIONAL,7cf91b6c-1455-11f1-9378-303ea725c124,Cooling,74,99,4.610571|3.000000,0.018965482711791992,3.0,4.395564|3.000000,4.610571|3.000000,4.395564|3.000000,3,80032727040.000000,N/A,1,5
MOGP_GENERATIONAL,7cf91b6c-1455-11f1-9378-303ea725c124,Cooling,74,100,4.610571|3.000000,0.020120620727539062,3.0,4.395564|3.000000,4.610571|3.000000,4.395564|3.000000,3,85416747008.000000,N/A,1,5
MOGP_GENERATIONAL,7cf91b6c-1455-11f1-9378-303ea725c124,Cooling,74,101,4.610571|3.000000,0.019047975540161133,3.0,4.395564|3.000000,4.610571|3.000000,4.395564|3.000000,3,86276718592.000000,N/A,1,5
MOGP_GENERATIONAL,7cf91b6c-1455-11f1-9378-303ea725c124,Cooling,74,102,4.610571|3.000000,0.019280195236206055,3.0,4.395564|3.000000,4.610571|3.000000,4.395564|3.000000,3,86385344512.000000,N/A,1,5
MOGP_GENERATIONAL,7cf91b6c-1455-11f1-9378-303ea725c124,Cooling,74,103,4.610571|3.000000,0.019273042678833008,3.0,4.395564|3.000000,4.610571|3.000000,4.395564|3.000000,3,49937469440.000000,N/A,1,5
MOGP_GENERATIONAL,7cf91b6c-1455-11f1-9378-303ea725c124,Cooling,74,104,4.610571|3.000000,0.019516706466674805,3.0,4.395564|3.000000,4.610571|3.000000,4.395564|3.000000,3,125271842816.000000,N/A,1,5
MOGP_GENERATIONAL,7cf91b6c-1455-11f1-9378-303ea725c124,Cooling,74,105,4.610571|3.000000,0.019952774047851562,3.0,4.395564|3.000000,4.610571|3.000000,4.395564|3.000000,3,122682261504.000000,N/A,1,5
MOGP_GENERATIONAL,7cf91b6c-1455-11f1-9378-303ea725c124,Cooling,74,106,4.610571|3.000000,0.019501209259033203,3.0,4.395564|3.000000,4.610571|3.000000,4.395564|3.000000,3,85335056384.000000,N/A,1,5
MOGP_GENERATIONAL,7cf91b6c-1455-11f1-9378-303ea725c124,Cooling,74,107,4.610571|3.000000,0.018820762634277344,3.0,4.395564|3.000000,4.610571|3.000000,4.395564|3.000000,3,49937444864.000000,N/A,1,5
MOGP_GENERATIONAL,7cf91b6c-1455-11f1-9378-303ea725c124,Cooling,74,108,4.610571|3.000000,0.018349409103393555,3.0,4.395564|3.000000,4.610571|3.000000,4.395564|3.000000,3,75812102144.000000,N/A,1,5
MOGP_GENERATIONAL,7cf91b6c-1455-11f1-9378-303ea725c124,Cooling,74,109,4.610571|3.000000,0.01903247833251953,3.0,4.395564|3.000000,4.610571|3.000000,4.395564|3.000000,3,96689659904.000000,N/A,1,5
MOGP_GENERATIONAL,7cf91b6c-1455-11f1-9378-303ea725c124,Cooling,74,110,4.610571|3.000000,0.020603179931640625,3.0,4.395564|3.000000,4.610571|3.000000,4.395564|3.000000,3,45385408512.000000,N/A,1,5
MOGP_GENERATIONAL,7cf91b6c-1455-11f1-9378-303ea725c124,Cooling,74,111,4.610571|3.000000,0.01970815658569336,3.0,4.395564|3.000000,4.610571|3.000000,4.395564|3.000000,3,111794651136.000000,N/A,1,5
MOGP_GENERATIONAL,7cf91b6c-1455-11f1-9378-303ea725c124,Cooling,74,112,4.610571|3.000000,0.020505666732788086,3.0,4.395564|3.000000,4.610571|3.000000,4.395564|3.000000,3,99092701184.000000,N/A,1,5
MOGP_GENERATIONAL,7cf91b6c-1455-11f1-9378-303ea725c124,Cooling,74,113,4.610571|3.000000,0.01838374137878418,3.0,4.395564|3.000000,4.610571|3.000000,4.395564|3.000000,3,96632823808.000000,N/A,1,5
MOGP_GENERATIONAL,7cf91b6c-1455-11f1-9378-303ea725c124,Cooling,74,114,4.610571|3.000000,0.01898360252380371,3.0,4.395564|3.000000,4.610571|3.000000,4.395564|3.000000,3,129546280960.000000,N/A,1,5
MOGP_GENERATIONAL,7cf91b6c-1455-11f1-9378-303ea725c124,Cooling,74,115,4.610571|3.000000,0.01903367042541504,3.0,4.395564|3.000000,4.610571|3.000000,4.395564|3.000000,3,111102410752.000000,N/A,1,5
MOGP_GENERATIONAL,7cf91b6c-1455-11f1-9378-303ea725c124,Cooling,74,116,4.610571|3.000000,0.05741310119628906,3.0,4.395564|3.000000,4.610571|3.000000,4.395564|3.000000,3,106351476736.000000,N/A,1,5
