MOGP_GENERATIONAL,7c90c338-1409-11f1-9378-303ea725c124,Toxicity,74,96,2234.597412|7.000000,0.0231626033782959,7.0,1834.139282|7.000000,2234.597412|7.000000,1834.139282|7.000000,7,7822806528.000000,N/A,2,5
MOGP_GENERATIONAL,7c90c338-1409-11f1-9378-303ea725c124,Toxicity,74,97,2234.597412|7.000000,0.023168087005615234,7.0,1834.139282|7.000000,2234.597412|7.000000,1834.139282|7.000000,7,49313144832.000000,N/A,2,5
MOGP_GENERATIONAL,7c90c338-1409-11f1-9378-303ea725c124,Toxicity,74,98,2234.597412|7.000000,0.022542953491210938,7.0,1834.139282|7.000000,2234.597412|7.000000,1834.139282|7.000000,7,30748237824.000000,N/A,2,5
MOGP_GENERATIONAL,7c90c338-1409-11f1-9378-303ea725c124,Toxicity,74,99,2234.597412|7.000000,0.02119612693786621,7.0,1834.139282|7.000000,2234.597412|7.000000,1834.139282|7.000000,7,27476977664.000000,N/A,2,5
MOGP_GENERATIONAL,7c90c338-1409-11f1-9378-303ea725c124,Toxicity,74,100,2234.597412|7.000000,0.021230459213256836,7.0,1834.139282|7.000000,2234.597412|7.000000,1834.139282|7.000000,7,6774749696.000000,N/A,2,5
MOGP_GENERATIONAL,7c90c338-1409-11f1-9378-303ea725c124,Toxicity,74,101,2234.597412|7.000000,0.022001981735229492,7.0,1834.139282|7.000000,2234.597412|7.000000,1834.139282|7.000000,7,59051626496.000000,N/A,2,5
MOGP_GENERATIONAL,7c90c338-1409-11f1-9378-303ea725c124,Toxicity,74,102,2234.597412|7.000000,0.02217411994934082,7.0,1834.139282|7.000000,2234.597412|7.000000,1834.139282|7.000000,7,50165686272.000000,N/A,2,5
MOGP_GENERATIONAL,7c90c338-1409-11f1-9378-303ea725c124,Toxicity,74,103,2234.597412|7.000000,0.022301197052001953,7.0,1834.139282|7.000000,2234.597412|7.000000,1834.139282|7.000000,7,60988178432.000000,N/A,2,5
MOGP_GENERATIONAL,7c90c338-1409-11f1-9378-303ea725c124,Toxicity,74,104,2234.597412|7.000000,0.021534204483032227,7.0,1834.139282|7.000000,2234.597412|7.000000,1834.139282|7.000000,7,70066118656.000000,N/A,2,5
MOGP_GENERATIONAL,7c90c338-1409-11f1-9378-303ea725c124,Toxicity,74,105,2129.911133|7.000000,0.021024465560913086,7.0,1782.683838|7.000000,2129.911133|7.000000,1782.683838|7.000000,7,28475443200.000000,N/A,2,5
MOGP_GENERATIONAL,7c90c338-1409-11f1-9378-303ea725c124,Toxicity,74,106,2129.911133|7.000000,0.022142887115478516,7.0,1782.683838|7.000000,2129.911133|7.000000,1782.683838|7.000000,7,66869825536.000000,N/A,2,5
MOGP_GENERATIONAL,7c90c338-1409-11f1-9378-303ea725c124,Toxicity,74,107,2129.911133|7.000000,0.021679162979125977,7.0,1782.683838|7.000000,2129.911133|7.000000,1782.683838|7.000000,7,8756513792.000000,N/A,2,5
MOGP_GENERATIONAL,7c90c338-1409-11f1-9378-303ea725c124,Toxicity,74,108,2129.911133|7.000000,0.021679401397705078,7.0,1782.683838|7.000000,2129.911133|7.000000,1782.683838|7.000000,7,249.959229,N/A,2,5
MOGP_GENERATIONAL,7c90c338-1409-11f1-9378-303ea725c124,Toxicity,74,109,2129.911133|7.000000,0.020995378494262695,7.0,1782.683838|7.000000,2129.911133|7.000000,1782.683838|7.000000,7,3697.849121,N/A,2,5
MOGP_GENERATIONAL,7c90c338-1409-11f1-9378-303ea725c124,Toxicity,74,110,2129.911133|7.000000,0.021618366241455078,7.0,1782.683838|7.000000,2129.911133|7.000000,1782.683838|7.000000,7,63634477056.000000,N/A,2,5
MOGP_GENERATIONAL,7c90c338-1409-11f1-9378-303ea725c124,Toxicity,74,111,2129.911133|7.000000,0.022237539291381836,7.0,1782.683838|7.000000,2129.911133|7.000000,1782.683838|7.000000,7,72393506816.000000,N/A,2,5
