MOGP_GENERATIONAL,0d379db4-151b-11f1-9378-303ea725c124,Cooling,74,69,4.605806|3.000000,0.018867015838623047,3.0,4.407163|3.000000,4.605806|3.000000,4.407163|3.000000,3,111117828096.000000,N/A,1,5
MOGP_GENERATIONAL,0d379db4-151b-11f1-9378-303ea725c124,Cooling,74,70,4.605806|3.000000,0.019181013107299805,3.0,4.407163|3.000000,4.605806|3.000000,4.407163|3.000000,3,66507165696.000000,N/A,1,5
MOGP_GENERATIONAL,0d379db4-151b-11f1-9378-303ea725c124,Cooling,74,71,4.605806|3.000000,0.019235610961914062,3.0,4.407163|3.000000,4.605806|3.000000,4.407163|3.000000,3,119547543552.000000,N/A,1,5
MOGP_GENERATIONAL,0d379db4-151b-11f1-9378-303ea725c124,Cooling,74,72,4.605806|3.000000,0.0195620059967041,3.0,4.407163|3.000000,4.605806|3.000000,4.407163|3.000000,3,108125675520.000000,N/A,1,5
MOGP_GENERATIONAL,0d379db4-151b-11f1-9378-303ea725c124,Cooling,74,73,4.605806|3.000000,0.02001023292541504,3.0,4.407163|3.000000,4.605806|3.000000,4.407163|3.000000,3,61929242624.000000,N/A,1,5
MOGP_GENERATIONAL,0d379db4-151b-11f1-9378-303ea725c124,Cooling,74,74,4.605806|3.000000,0.019826412200927734,3.0,4.407163|3.000000,4.605806|3.000000,4.407163|3.000000,3,89386672128.000000,N/A,1,5
MOGP_GENERATIONAL,0d379db4-151b-11f1-9378-303ea725c124,Cooling,74,75,4.605806|3.000000,0.019716739654541016,3.0,4.407163|3.000000,4.605806|3.000000,4.407163|3.000000,3,86277177344.000000,N/A,1,5
MOGP_GENERATIONAL,0d379db4-151b-11f1-9378-303ea725c124,Cooling,74,76,4.605806|3.000000,0.019797325134277344,3.0,4.407163|3.000000,4.605806|3.000000,4.407163|3.000000,3,78135377920.000000,N/A,1,5
MOGP_GENERATIONAL,0d379db4-151b-11f1-9378-303ea725c124,Cooling,74,77,4.605806|3.000000,0.02021312713623047,3.0,4.407163|3.000000,4.605806|3.000000,4.407163|3.000000,3,70558244864.000000,N/A,1,5
MOGP_GENERATIONAL,0d379db4-151b-11f1-9378-303ea725c124,Cooling,74,78,4.605806|3.000000,0.019144058227539062,3.0,4.407163|3.000000,4.605806|3.000000,4.407163|3.000000,3,88796168192.000000,N/A,1,5
MOGP_GENERATIONAL,0d379db4-151b-11f1-9378-303ea725c124,Cooling,74,79,4.605806|3.000000,0.019278764724731445,3.0,4.407163|3.000000,4.605806|3.000000,4.407163|3.000000,3,75163877376.000000,N/A,1,5
MOGP_GENERATIONAL,0d379db4-151b-11f1-9378-303ea725c124,Cooling,74,80,4.605806|3.000000,0.019205808639526367,3.0,4.407163|3.000000,4.605806|3.000000,4.407163|3.000000,3,42840018944.000000,N/A,1,5
MOGP_GENERATIONAL,0d379db4-151b-11f1-9378-303ea725c124,Cooling,74,81,4.605806|3.000000,0.01996016502380371,3.0,4.407163|3.000000,4.605806|3.000000,4.407163|3.000000,3,110419419136.000000,N/A,1,5
MOGP_GENERATIONAL,0d379db4-151b-11f1-9378-303ea725c124,Cooling,74,82,4.605806|3.000000,0.018581390380859375,3.0,4.407163|3.000000,4.605806|3.000000,4.407163|3.000000,3,70533685248.000000,N/A,1,5
MOGP_GENERATIONAL,0d379db4-151b-11f1-9378-303ea725c124,Cooling,74,83,4.605806|3.000000,0.019276142120361328,3.0,4.407163|3.000000,4.605806|3.000000,4.407163|3.000000,3,65706573824.000000,N/A,1,5
MOGP_GENERATIONAL,0d379db4-151b-11f1-9378-303ea725c124,Cooling,74,84,4.605806|3.000000,0.01920604705810547,3.0,4.407163|3.000000,4.605806|3.000000,4.407163|3.000000,3,94076739584.000000,N/A,1,5
MOGP_GENERATIONAL,0d379db4-151b-11f1-9378-303ea725c124,Cooling,74,85,4.605806|3.000000,0.02068948745727539,3.0,4.407163|3.000000,4.605806|3.000000,4.407163|3.000000,3,116471070720.000000,N/A,1,5
MOGP_GENERATIONAL,0d379db4-151b-11f1-9378-303ea725c124,Cooling,74,86,4.605806|3.000000,0.020076751708984375,3.0,4.407163|3.000000,4.605806|3.000000,4.407163|3.000000,3,96220209152.000000,N/A,1,5
MOGP_GENERATIONAL,0d379db4-151b-11f1-9378-303ea725c124,Cooling,74,87,4.605806|3.000000,0.018978357315063477,3.0,4.407163|3.000000,4.605806|3.000000,4.407163|3.000000,3,111357444096.000000,N/A,1,5
MOGP_GENERATIONAL,0d379db4-151b-11f1-9378-303ea725c124,Cooling,74,88,4.605806|3.000000,0.0189056396484375,3.0,4.407163|3.000000,4.605806|3.000000,4.407163|3.000000,3,81140850688.000000,N/A,1,5
MOGP_GENERATIONAL,0d379db4-151b-11f1-9378-303ea725c124,Cooling,74,89,4.605806|3.000000,0.019017457962036133,3.0,4.407163|3.000000,4.605806|3.000000,4.407163|3.000000,3,58063290368.000000,N/A,1,5
MOGP_GENERATIONAL,0d379db4-151b-11f1-9378-303ea725c124,Cooling,74,90,4.605806|3.000000,0.018976926803588867,3.0,4.407163|3.000000,4.605806|3.000000,4.407163|3.000000,3,86148694016.000000,N/A,1,5
MOGP_GENERATIONAL,0d379db4-151b-11f1-9378-303ea725c124,Cooling,74,91,4.605806|3.000000,0.01955246925354004,3.0,4.407163|3.000000,4.605806|3.000000,4.407163|3.000000,3,99498762240.000000,N/A,1,5
MOGP_GENERATIONAL,0d379db4-151b-11f1-9378-303ea725c124,Cooling,74,92,4.605806|3.000000,0.019916057586669922,3.0,4.407163|3.000000,4.605806|3.000000,4.407163|3.000000,3,121688244224.000000,N/A,1,5
MOGP_GENERATIONAL,0d379db4-151b-11f1-9378-303ea725c124,Cooling,74,93,4.605806|3.000000,0.018724918365478516,3.0,4.407163|3.000000,4.605806|3.000000,4.407163|3.000000,3,92821864448.000000,N/A,1,5
