MOGP_GENERATIONAL,cd23de3f-133c-11f1-8180-b751108eed3b,Cooling,74,87,4.751816|3.000000|1.000000,0.06664466857910156,3.0,4.030739|3.000000|1.000000,4.751816|3.000000|1.000000,4.030739|3.000000|1.000000,3,114674728960.000000,N/A,2,5
MOGP_GENERATIONAL,cd23de3f-133c-11f1-8180-b751108eed3b,Cooling,74,88,4.751816|3.000000|1.000000,0.06673741340637207,3.0,4.030739|3.000000|1.000000,4.751816|3.000000|1.000000,4.030739|3.000000|1.000000,3,142378319872.000000,N/A,2,5
MOGP_GENERATIONAL,cd23de3f-133c-11f1-8180-b751108eed3b,Cooling,74,89,4.751816|3.000000|1.000000,0.06457829475402832,3.0,4.030739|3.000000|1.000000,4.751816|3.000000|1.000000,4.030739|3.000000|1.000000,3,110548049920.000000,N/A,2,5
MOGP_GENERATIONAL,cd23de3f-133c-11f1-8180-b751108eed3b,Cooling,74,90,4.751816|3.000000|1.000000,0.05205392837524414,3.0,4.030739|3.000000|1.000000,4.751816|3.000000|1.000000,4.030739|3.000000|1.000000,3,96562520064.000000,N/A,2,5
MOGP_GENERATIONAL,cd23de3f-133c-11f1-8180-b751108eed3b,Cooling,74,91,4.751816|3.000000|1.000000,0.06542563438415527,3.0,4.030739|3.000000|1.000000,4.751816|3.000000|1.000000,4.030739|3.000000|1.000000,3,82275655680.000000,N/A,2,5
MOGP_GENERATIONAL,cd23de3f-133c-11f1-8180-b751108eed3b,Cooling,74,92,4.751816|3.000000|1.000000,0.06520628929138184,3.0,4.030739|3.000000|1.000000,4.751816|3.000000|1.000000,4.030739|3.000000|1.000000,3,70534537216.000000,N/A,2,5
MOGP_GENERATIONAL,cd23de3f-133c-11f1-8180-b751108eed3b,Cooling,74,93,4.751816|3.000000|1.000000,0.04988908767700195,3.0,4.030739|3.000000|1.000000,4.751816|3.000000|1.000000,4.030739|3.000000|1.000000,3,86278660096.000000,N/A,2,5
MOGP_GENERATIONAL,cd23de3f-133c-11f1-8180-b751108eed3b,Cooling,74,94,4.751816|3.000000|1.000000,0.06660056114196777,3.0,4.030739|3.000000|1.000000,4.751816|3.000000|1.000000,4.030739|3.000000|1.000000,3,93526630400.000000,N/A,2,5
MOGP_GENERATIONAL,cd23de3f-133c-11f1-8180-b751108eed3b,Cooling,74,95,4.751816|3.000000|1.000000,0.05727791786193848,3.0,4.030739|3.000000|1.000000,4.751816|3.000000|1.000000,4.030739|3.000000|1.000000,3,99502276608.000000,N/A,2,5
MOGP_GENERATIONAL,cd23de3f-133c-11f1-8180-b751108eed3b,Cooling,74,96,4.751816|3.000000|1.000000,0.06672811508178711,3.0,4.030739|3.000000|1.000000,4.751816|3.000000|1.000000,4.030739|3.000000|1.000000,3,122998366208.000000,N/A,2,5
MOGP_GENERATIONAL,cd23de3f-133c-11f1-8180-b751108eed3b,Cooling,74,97,4.751816|3.000000|1.000000,0.06669807434082031,3.0,4.030739|3.000000|1.000000,4.751816|3.000000|1.000000,4.030739|3.000000|1.000000,3,91250417664.000000,N/A,2,5
MOGP_GENERATIONAL,cd23de3f-133c-11f1-8180-b751108eed3b,Cooling,74,98,4.751816|3.000000|1.000000,0.0679771900177002,3.0,4.030739|3.000000|1.000000,4.751816|3.000000|1.000000,4.030739|3.000000|1.000000,3,70585909248.000000,N/A,2,5
MOGP_GENERATIONAL,cd23de3f-133c-11f1-8180-b751108eed3b,Cooling,74,99,4.751816|3.000000|1.000000,0.06670045852661133,3.0,4.030739|3.000000|1.000000,4.751816|3.000000|1.000000,4.030739|3.000000|1.000000,3,50205220864.000000,N/A,2,5
