MOGP_GENERATIONAL,29a80882-1537-11f1-9378-303ea725c124,Cooling,74,85,4.495635|3.000000,0.020760297775268555,3.0,4.664126|3.000000,4.495635|3.000000,4.664126|3.000000,3,94684323840.000000,N/A,1,5
MOGP_GENERATIONAL,29a80882-1537-11f1-9378-303ea725c124,Cooling,74,86,4.495635|3.000000,0.02001166343688965,3.0,4.664126|3.000000,4.495635|3.000000,4.664126|3.000000,3,125133193216.000000,N/A,1,5
MOGP_GENERATIONAL,29a80882-1537-11f1-9378-303ea725c124,Cooling,74,87,4.495635|3.000000,0.01887369155883789,3.0,4.664126|3.000000,4.495635|3.000000,4.664126|3.000000,3,99836329984.000000,N/A,1,5
MOGP_GENERATIONAL,29a80882-1537-11f1-9378-303ea725c124,Cooling,74,88,4.495635|3.000000,0.01882195472717285,3.0,4.664126|3.000000,4.495635|3.000000,4.664126|3.000000,3,95683887104.000000,N/A,1,5
MOGP_GENERATIONAL,29a80882-1537-11f1-9378-303ea725c124,Cooling,74,89,4.495635|3.000000,0.019002437591552734,3.0,4.664126|3.000000,4.495635|3.000000,4.664126|3.000000,3,68587757568.000000,N/A,1,5
MOGP_GENERATIONAL,29a80882-1537-11f1-9378-303ea725c124,Cooling,74,90,4.495635|3.000000,0.019023418426513672,3.0,4.664126|3.000000,4.495635|3.000000,4.664126|3.000000,3,93262716928.000000,N/A,1,5
MOGP_GENERATIONAL,29a80882-1537-11f1-9378-303ea725c124,Cooling,74,91,4.495635|3.000000,0.020101308822631836,3.0,4.664126|3.000000,4.495635|3.000000,4.664126|3.000000,3,80690446336.000000,N/A,1,5
MOGP_GENERATIONAL,29a80882-1537-11f1-9378-303ea725c124,Cooling,74,92,4.495635|3.000000,0.019768953323364258,3.0,4.664126|3.000000,4.495635|3.000000,4.664126|3.000000,3,110780915712.000000,N/A,1,5
MOGP_GENERATIONAL,29a80882-1537-11f1-9378-303ea725c124,Cooling,74,93,4.495635|3.000000,0.018709659576416016,3.0,4.664126|3.000000,4.495635|3.000000,4.664126|3.000000,3,51463413760.000000,N/A,1,5
MOGP_GENERATIONAL,29a80882-1537-11f1-9378-303ea725c124,Cooling,74,94,4.495635|3.000000,0.020231246948242188,3.0,4.664126|3.000000,4.495635|3.000000,4.664126|3.000000,3,121458458624.000000,N/A,1,5
