MOGP_NSGAII,44ddeb96-e727-11f0-b717-6e001b3eef54,Boston,74,112,10.493176|3.000000,4.9390809535980225,3.0,9.579111|3.000000,8.270744|7.000000,7,0.190311,N/A,5
MOGP_NSGAII,44ddeb96-e727-11f0-b717-6e001b3eef54,Boston,74,113,10.493176|3.000000,4.882597208023071,3.0,9.579111|3.000000,8.270744|7.000000,7,0.190311,N/A,5
MOGP_NSGAII,44ddeb96-e727-11f0-b717-6e001b3eef54,Boston,74,114,10.493176|3.000000,4.900020122528076,3.0,9.579111|3.000000,8.270744|7.000000,7,0.190311,N/A,5
MOGP_NSGAII,44ddeb96-e727-11f0-b717-6e001b3eef54,Boston,74,115,10.493176|3.000000,5.042816162109375,3.0,9.579111|3.000000,8.270744|7.000000,7,0.190311,N/A,5
MOGP_NSGAII,44ddeb96-e727-11f0-b717-6e001b3eef54,Boston,74,116,10.493176|3.000000,4.963216066360474,3.0,9.579111|3.000000,8.270744|7.000000,7,0.190311,N/A,5
MOGP_NSGAII,44ddeb96-e727-11f0-b717-6e001b3eef54,Boston,74,117,10.493176|3.000000,5.022333860397339,3.0,9.579111|3.000000,8.270744|7.000000,7,0.190311,N/A,5
MOGP_NSGAII,44ddeb96-e727-11f0-b717-6e001b3eef54,Boston,74,118,10.493176|3.000000,4.7687859535217285,3.0,9.579111|3.000000,8.270744|7.000000,7,0.190311,N/A,5
MOGP_NSGAII,44ddeb96-e727-11f0-b717-6e001b3eef54,Boston,74,119,10.493176|3.000000,4.805230140686035,3.0,9.579111|3.000000,8.270744|7.000000,7,0.190311,N/A,5
MOGP_NSGAII,44ddeb96-e727-11f0-b717-6e001b3eef54,Boston,74,120,10.493176|3.000000,4.86421799659729,3.0,9.579111|3.000000,8.270744|7.000000,7,0.190311,N/A,5
MOGP_NSGAII,44ddeb96-e727-11f0-b717-6e001b3eef54,Boston,74,121,10.493176|3.000000,4.943027019500732,3.0,9.579111|3.000000,8.270744|7.000000,7,0.190311,N/A,5
MOGP_NSGAII,44ddeb96-e727-11f0-b717-6e001b3eef54,Boston,74,122,10.493176|3.000000,5.035815954208374,3.0,9.579111|3.000000,8.270744|7.000000,7,0.190311,N/A,5
MOGP_NSGAII,44ddeb96-e727-11f0-b717-6e001b3eef54,Boston,74,123,10.493176|3.000000,4.85969614982605,3.0,9.579111|3.000000,8.270744|7.000000,7,0.190311,N/A,5
MOGP_NSGAII,44ddeb96-e727-11f0-b717-6e001b3eef54,Boston,74,124,10.493176|3.000000,4.890527009963989,3.0,9.579111|3.000000,8.270744|7.000000,7,0.190311,N/A,5
MOGP_NSGAII,44ddeb96-e727-11f0-b717-6e001b3eef54,Boston,74,125,10.493176|3.000000,4.9562859535217285,3.0,9.579111|3.000000,8.270744|7.000000,7,0.190311,N/A,5
MOGP_NSGAII,44ddeb96-e727-11f0-b717-6e001b3eef54,Boston,74,126,10.493176|3.000000,4.75219988822937,3.0,9.579111|3.000000,8.270744|7.000000,7,0.190311,N/A,5
MOGP_NSGAII,44ddeb96-e727-11f0-b717-6e001b3eef54,Boston,74,127,10.493176|3.000000,5.037710905075073,3.0,9.579111|3.000000,8.270744|7.000000,7,0.190311,N/A,5
MOGP_NSGAII,44ddeb96-e727-11f0-b717-6e001b3eef54,Boston,74,128,10.493176|3.000000,4.933714866638184,3.0,9.579111|3.000000,8.270744|7.000000,7,0.190311,N/A,5
MOGP_NSGAII,44ddeb96-e727-11f0-b717-6e001b3eef54,Boston,74,129,10.493176|3.000000,4.9367241859436035,3.0,9.579111|3.000000,8.270744|7.000000,7,0.190311,N/A,5
MOGP_NSGAII,44ddeb96-e727-11f0-b717-6e001b3eef54,Boston,74,130,10.493176|3.000000,4.8514392375946045,3.0,9.579111|3.000000,8.270744|7.000000,7,0.190311,N/A,5
MOGP_NSGAII,44ddeb96-e727-11f0-b717-6e001b3eef54,Boston,74,131,10.493176|3.000000,4.881602764129639,3.0,9.579111|3.000000,8.270744|7.000000,7,0.170133,N/A,5
MOGP_NSGAII,44ddeb96-e727-11f0-b717-6e001b3eef54,Boston,74,132,10.493176|3.000000,4.7729411125183105,3.0,9.579111|3.000000,8.270744|7.000000,7,0.170133,N/A,5
MOGP_NSGAII,44ddeb96-e727-11f0-b717-6e001b3eef54,Boston,74,133,10.493176|3.000000,4.796655893325806,3.0,9.579111|3.000000,8.270744|7.000000,7,0.170133,N/A,5
MOGP_NSGAII,44ddeb96-e727-11f0-b717-6e001b3eef54,Boston,74,134,10.493176|3.000000,4.844712972640991,3.0,9.579111|3.000000,8.270744|7.000000,7,0.170133,N/A,5
MOGP_NSGAII,44ddeb96-e727-11f0-b717-6e001b3eef54,Boston,74,135,10.493176|3.000000,4.943339109420776,3.0,9.579111|3.000000,8.270744|7.000000,7,0.170133,N/A,5
MOGP_NSGAII,44ddeb96-e727-11f0-b717-6e001b3eef54,Boston,74,136,10.493176|3.000000,4.815656900405884,3.0,9.579111|3.000000,8.270744|7.000000,7,0.170133,N/A,5
MOGP_NSGAII,44ddeb96-e727-11f0-b717-6e001b3eef54,Boston,74,137,10.493176|3.000000,4.804699182510376,3.0,9.579111|3.000000,8.270744|7.000000,7,0.170133,N/A,5
MOGP_NSGAII,44ddeb96-e727-11f0-b717-6e001b3eef54,Boston,74,138,10.493176|3.000000,5.01041579246521,3.0,9.579111|3.000000,8.270744|7.000000,7,0.170133,N/A,5
