MOGP_GENERATIONAL,07ae2a94-144d-11f1-9378-303ea725c124,Cooling,74,84,4.481646|7.000000|1.000000,0.027123212814331055,7.0,4.441103|7.000000|1.000000,4.481646|7.000000|1.000000,4.441103|7.000000|1.000000,7,87541374976.000000,N/A,2,5
MOGP_GENERATIONAL,07ae2a94-144d-11f1-9378-303ea725c124,Cooling,74,85,4.481646|7.000000|1.000000,0.026622533798217773,7.0,4.441103|7.000000|1.000000,4.481646|7.000000|1.000000,4.441103|7.000000|1.000000,7,50039529472.000000,N/A,2,5
MOGP_GENERATIONAL,07ae2a94-144d-11f1-9378-303ea725c124,Cooling,74,86,4.481646|7.000000|1.000000,0.026169776916503906,7.0,4.441103|7.000000|1.000000,4.481646|7.000000|1.000000,4.441103|7.000000|1.000000,7,92994453504.000000,N/A,2,5
MOGP_GENERATIONAL,07ae2a94-144d-11f1-9378-303ea725c124,Cooling,74,87,4.481646|7.000000|1.000000,0.028356313705444336,7.0,4.441103|7.000000|1.000000,4.481646|7.000000|1.000000,4.441103|7.000000|1.000000,7,107713978368.000000,N/A,2,5
MOGP_GENERATIONAL,07ae2a94-144d-11f1-9378-303ea725c124,Cooling,74,88,4.481646|7.000000|1.000000,0.026524782180786133,7.0,4.441103|7.000000|1.000000,4.481646|7.000000|1.000000,4.441103|7.000000|1.000000,7,68116889600.000000,N/A,2,5
MOGP_GENERATIONAL,07ae2a94-144d-11f1-9378-303ea725c124,Cooling,74,89,4.481646|7.000000|1.000000,0.027362585067749023,7.0,4.441103|7.000000|1.000000,4.481646|7.000000|1.000000,4.441103|7.000000|1.000000,7,100787994624.000000,N/A,2,5
MOGP_GENERATIONAL,07ae2a94-144d-11f1-9378-303ea725c124,Cooling,74,90,4.481646|7.000000|1.000000,0.026317596435546875,7.0,4.441103|7.000000|1.000000,4.481646|7.000000|1.000000,4.441103|7.000000|1.000000,7,61038137344.000000,N/A,2,5
MOGP_GENERATIONAL,07ae2a94-144d-11f1-9378-303ea725c124,Cooling,74,91,4.481646|7.000000|1.000000,0.0266416072845459,7.0,4.441103|7.000000|1.000000,4.481646|7.000000|1.000000,4.441103|7.000000|1.000000,7,105606717440.000000,N/A,2,5
MOGP_GENERATIONAL,07ae2a94-144d-11f1-9378-303ea725c124,Cooling,74,92,4.481646|7.000000|1.000000,0.02691507339477539,7.0,4.441103|7.000000|1.000000,4.481646|7.000000|1.000000,4.441103|7.000000|1.000000,7,85329461248.000000,N/A,2,5
MOGP_GENERATIONAL,07ae2a94-144d-11f1-9378-303ea725c124,Cooling,74,93,4.481646|7.000000|1.000000,0.026648521423339844,7.0,4.441103|7.000000|1.000000,4.481646|7.000000|1.000000,4.441103|7.000000|1.000000,7,24553713664.000000,N/A,2,5
MOGP_GENERATIONAL,07ae2a94-144d-11f1-9378-303ea725c124,Cooling,74,94,4.481646|7.000000|1.000000,0.027495861053466797,7.0,4.441103|7.000000|1.000000,4.481646|7.000000|1.000000,4.441103|7.000000|1.000000,7,59001868288.000000,N/A,2,5
MOGP_GENERATIONAL,07ae2a94-144d-11f1-9378-303ea725c124,Cooling,74,95,4.481646|7.000000|1.000000,0.02691507339477539,7.0,4.441103|7.000000|1.000000,4.481646|7.000000|1.000000,4.441103|7.000000|1.000000,7,124629024768.000000,N/A,2,5
MOGP_GENERATIONAL,07ae2a94-144d-11f1-9378-303ea725c124,Cooling,74,96,4.481646|7.000000|1.000000,0.027537822723388672,7.0,4.441103|7.000000|1.000000,4.481646|7.000000|1.000000,4.441103|7.000000|1.000000,7,69442134016.000000,N/A,2,5
MOGP_GENERATIONAL,07ae2a94-144d-11f1-9378-303ea725c124,Cooling,74,97,4.481646|7.000000|1.000000,0.026657819747924805,7.0,4.441103|7.000000|1.000000,4.481646|7.000000|1.000000,4.441103|7.000000|1.000000,7,43528073216.000000,N/A,2,5
MOGP_GENERATIONAL,07ae2a94-144d-11f1-9378-303ea725c124,Cooling,74,98,4.481646|7.000000|1.000000,0.026288270950317383,7.0,4.441103|7.000000|1.000000,4.481646|7.000000|1.000000,4.441103|7.000000|1.000000,7,86279536640.000000,N/A,2,5
MOGP_GENERATIONAL,07ae2a94-144d-11f1-9378-303ea725c124,Cooling,74,99,4.481646|7.000000|1.000000,0.02658534049987793,7.0,4.441103|7.000000|1.000000,4.481646|7.000000|1.000000,4.441103|7.000000|1.000000,7,96466337792.000000,N/A,2,5
MOGP_GENERATIONAL,07ae2a94-144d-11f1-9378-303ea725c124,Cooling,74,100,4.481646|7.000000|1.000000,0.026247024536132812,7.0,4.441103|7.000000|1.000000,4.481646|7.000000|1.000000,4.441103|7.000000|1.000000,7,72234631168.000000,N/A,2,5
