MOGP_NSGAII,c0213d76-e7c7-11f0-a37d-6e001b3eef54,Cooling,74,63,4.492990|3.000000,5.288447856903076,3.0,4.670046|3.000000,4.289158|7.000000,7,0.020475,N/A,5
MOGP_NSGAII,c0213d76-e7c7-11f0-a37d-6e001b3eef54,Cooling,74,64,4.492990|3.000000,5.220037221908569,3.0,4.670046|3.000000,4.289158|7.000000,7,0.020475,N/A,5
MOGP_NSGAII,c0213d76-e7c7-11f0-a37d-6e001b3eef54,Cooling,74,65,4.492990|3.000000,5.345855951309204,3.0,4.670046|3.000000,4.289158|7.000000,7,0.020475,N/A,5
MOGP_NSGAII,c0213d76-e7c7-11f0-a37d-6e001b3eef54,Cooling,74,66,4.492990|3.000000,5.260155200958252,3.0,4.670046|3.000000,4.289158|7.000000,7,0.020475,N/A,5
MOGP_NSGAII,c0213d76-e7c7-11f0-a37d-6e001b3eef54,Cooling,74,67,4.492990|3.000000,5.114656925201416,3.0,4.670046|3.000000,4.289158|7.000000,7,0.020475,N/A,5
MOGP_NSGAII,c0213d76-e7c7-11f0-a37d-6e001b3eef54,Cooling,74,68,4.492990|3.000000,5.160466194152832,3.0,4.670046|3.000000,4.289158|7.000000,7,0.020475,N/A,5
MOGP_NSGAII,c0213d76-e7c7-11f0-a37d-6e001b3eef54,Cooling,74,69,4.492990|3.000000,5.149635076522827,3.0,4.670046|3.000000,4.289158|7.000000,7,0.020475,N/A,5
MOGP_NSGAII,c0213d76-e7c7-11f0-a37d-6e001b3eef54,Cooling,74,70,4.492990|3.000000,5.246905088424683,3.0,4.670046|3.000000,4.289158|7.000000,7,0.020475,N/A,5
MOGP_NSGAII,c0213d76-e7c7-11f0-a37d-6e001b3eef54,Cooling,74,71,4.492990|3.000000,5.1424641609191895,3.0,4.670046|3.000000,4.289158|7.000000,7,0.020475,N/A,5
MOGP_NSGAII,c0213d76-e7c7-11f0-a37d-6e001b3eef54,Cooling,74,72,4.492990|3.000000,5.172160863876343,3.0,4.670046|3.000000,4.289158|7.000000,7,0.020475,N/A,5
MOGP_NSGAII,c0213d76-e7c7-11f0-a37d-6e001b3eef54,Cooling,74,73,4.492990|3.000000,5.220091819763184,3.0,4.670046|3.000000,4.289158|7.000000,7,0.020475,N/A,5
MOGP_NSGAII,c0213d76-e7c7-11f0-a37d-6e001b3eef54,Cooling,74,74,4.492990|3.000000,5.246628046035767,3.0,4.670046|3.000000,4.289158|7.000000,7,0.020475,N/A,5
MOGP_NSGAII,c0213d76-e7c7-11f0-a37d-6e001b3eef54,Cooling,74,75,4.492990|3.000000,5.110803842544556,3.0,4.670046|3.000000,4.289158|7.000000,7,0.020475,N/A,5
MOGP_NSGAII,c0213d76-e7c7-11f0-a37d-6e001b3eef54,Cooling,74,76,4.492990|3.000000,5.118302822113037,3.0,4.670046|3.000000,4.289158|7.000000,7,0.020475,N/A,5
MOGP_NSGAII,c0213d76-e7c7-11f0-a37d-6e001b3eef54,Cooling,74,77,4.492990|3.000000,5.16375207901001,3.0,4.670046|3.000000,4.289158|7.000000,7,0.020475,N/A,5
MOGP_NSGAII,c0213d76-e7c7-11f0-a37d-6e001b3eef54,Cooling,74,78,4.492990|3.000000,5.4674718379974365,3.0,4.670046|3.000000,4.289158|7.000000,7,0.020475,N/A,5
MOGP_NSGAII,c0213d76-e7c7-11f0-a37d-6e001b3eef54,Cooling,74,79,4.492990|3.000000,5.74462103843689,3.0,4.670046|3.000000,4.289158|7.000000,7,0.020475,N/A,5
