MOGP_GENERATIONAL,7072340a-1509-11f1-9378-303ea725c124,Cooling,74,92,4.557420|3.000000|1.000000,0.026880979537963867,3.0,4.522584|3.000000|1.000000,4.557420|3.000000|1.000000,4.522584|3.000000|1.000000,3,70534488064.000000,N/A,2,5
MOGP_GENERATIONAL,7072340a-1509-11f1-9378-303ea725c124,Cooling,74,93,4.557420|3.000000|1.000000,0.02649378776550293,3.0,4.522584|3.000000|1.000000,4.557420|3.000000|1.000000,4.522584|3.000000|1.000000,3,86278660096.000000,N/A,2,5
MOGP_GENERATIONAL,7072340a-1509-11f1-9378-303ea725c124,Cooling,74,94,4.557420|3.000000|1.000000,0.0274810791015625,3.0,4.522584|3.000000|1.000000,4.557420|3.000000|1.000000,4.522584|3.000000|1.000000,3,94147067904.000000,N/A,2,5
MOGP_GENERATIONAL,7072340a-1509-11f1-9378-303ea725c124,Cooling,74,95,4.557420|3.000000|1.000000,0.026671886444091797,3.0,4.522584|3.000000|1.000000,4.557420|3.000000|1.000000,4.522584|3.000000|1.000000,3,99502800896.000000,N/A,2,5
MOGP_GENERATIONAL,7072340a-1509-11f1-9378-303ea725c124,Cooling,74,96,4.557420|3.000000|1.000000,0.027127981185913086,3.0,4.522584|3.000000|1.000000,4.557420|3.000000|1.000000,4.522584|3.000000|1.000000,3,123332042752.000000,N/A,2,5
MOGP_GENERATIONAL,7072340a-1509-11f1-9378-303ea725c124,Cooling,74,97,4.557420|3.000000|1.000000,0.026705026626586914,3.0,4.522584|3.000000|1.000000,4.557420|3.000000|1.000000,4.522584|3.000000|1.000000,3,91401076736.000000,N/A,2,5
MOGP_GENERATIONAL,7072340a-1509-11f1-9378-303ea725c124,Cooling,74,98,4.557420|3.000000|1.000000,0.026099681854248047,3.0,4.522584|3.000000|1.000000,4.557420|3.000000|1.000000,4.522584|3.000000|1.000000,3,70583590912.000000,N/A,2,5
MOGP_GENERATIONAL,7072340a-1509-11f1-9378-303ea725c124,Cooling,74,99,4.557420|3.000000|1.000000,0.026198387145996094,3.0,4.522584|3.000000|1.000000,4.557420|3.000000|1.000000,4.522584|3.000000|1.000000,3,50983956480.000000,N/A,2,5
MOGP_GENERATIONAL,7072340a-1509-11f1-9378-303ea725c124,Cooling,74,100,4.557420|3.000000|1.000000,0.026325702667236328,3.0,4.522584|3.000000|1.000000,4.557420|3.000000|1.000000,4.522584|3.000000|1.000000,3,59097915392.000000,N/A,2,5
MOGP_GENERATIONAL,7072340a-1509-11f1-9378-303ea725c124,Cooling,74,101,4.557420|3.000000|1.000000,0.02853536605834961,3.0,4.522584|3.000000|1.000000,4.557420|3.000000|1.000000,4.522584|3.000000|1.000000,3,141638172672.000000,N/A,2,5
