MOGP_GENERATIONAL,36178ec4-143f-11f1-9378-303ea725c124,Cooling,74,84,4.389738|3.000000|1.000000,0.027047157287597656,3.0,4.892997|3.000000|1.000000,4.389738|3.000000|1.000000,4.892997|3.000000|1.000000,3,82696249344.000000,N/A,2,5
MOGP_GENERATIONAL,36178ec4-143f-11f1-9378-303ea725c124,Cooling,74,85,4.389738|3.000000|1.000000,0.026979684829711914,3.0,4.892997|3.000000|1.000000,4.389738|3.000000|1.000000,4.892997|3.000000|1.000000,3,79218597888.000000,N/A,2,5
MOGP_GENERATIONAL,36178ec4-143f-11f1-9378-303ea725c124,Cooling,74,86,4.389738|3.000000|1.000000,0.02640509605407715,3.0,4.892997|3.000000|1.000000,4.389738|3.000000|1.000000,4.892997|3.000000|1.000000,3,118419922944.000000,N/A,2,5
MOGP_GENERATIONAL,36178ec4-143f-11f1-9378-303ea725c124,Cooling,74,87,4.389738|3.000000|1.000000,0.028122901916503906,3.0,4.892997|3.000000|1.000000,4.389738|3.000000|1.000000,4.892997|3.000000|1.000000,3,95167356928.000000,N/A,2,5
MOGP_GENERATIONAL,36178ec4-143f-11f1-9378-303ea725c124,Cooling,74,88,4.389738|3.000000|1.000000,0.026294469833374023,3.0,4.892997|3.000000|1.000000,4.389738|3.000000|1.000000,4.892997|3.000000|1.000000,3,70533652480.000000,N/A,2,5
MOGP_GENERATIONAL,36178ec4-143f-11f1-9378-303ea725c124,Cooling,74,89,4.389738|3.000000|1.000000,0.02729058265686035,3.0,4.892997|3.000000|1.000000,4.389738|3.000000|1.000000,4.892997|3.000000|1.000000,3,68883136512.000000,N/A,2,5
MOGP_GENERATIONAL,36178ec4-143f-11f1-9378-303ea725c124,Cooling,74,90,4.389738|3.000000|1.000000,0.02624058723449707,3.0,4.892997|3.000000|1.000000,4.389738|3.000000|1.000000,4.892997|3.000000|1.000000,3,70533275648.000000,N/A,2,5
MOGP_GENERATIONAL,36178ec4-143f-11f1-9378-303ea725c124,Cooling,74,91,4.389738|3.000000|1.000000,0.026943445205688477,3.0,4.892997|3.000000|1.000000,4.389738|3.000000|1.000000,4.892997|3.000000|1.000000,3,97665409024.000000,N/A,2,5
MOGP_GENERATIONAL,36178ec4-143f-11f1-9378-303ea725c124,Cooling,74,92,4.389738|3.000000|1.000000,0.027012109756469727,3.0,4.892997|3.000000|1.000000,4.389738|3.000000|1.000000,4.892997|3.000000|1.000000,3,24015601664.000000,N/A,2,5
MOGP_GENERATIONAL,36178ec4-143f-11f1-9378-303ea725c124,Cooling,74,93,4.389738|3.000000|1.000000,0.026703834533691406,3.0,4.892997|3.000000|1.000000,4.389738|3.000000|1.000000,4.892997|3.000000|1.000000,3,1433531.000000,N/A,2,5
MOGP_GENERATIONAL,36178ec4-143f-11f1-9378-303ea725c124,Cooling,74,94,4.389738|3.000000|1.000000,0.027344703674316406,3.0,4.892997|3.000000|1.000000,4.389738|3.000000|1.000000,4.892997|3.000000|1.000000,3,97121083392.000000,N/A,2,5
MOGP_GENERATIONAL,36178ec4-143f-11f1-9378-303ea725c124,Cooling,74,95,4.389738|3.000000|1.000000,0.026793718338012695,3.0,4.892997|3.000000|1.000000,4.389738|3.000000|1.000000,4.892997|3.000000|1.000000,3,48623968256.000000,N/A,2,5
MOGP_GENERATIONAL,36178ec4-143f-11f1-9378-303ea725c124,Cooling,74,96,4.389738|3.000000|1.000000,0.0271761417388916,3.0,4.892997|3.000000|1.000000,4.389738|3.000000|1.000000,4.892997|3.000000|1.000000,3,121059377152.000000,N/A,2,5
MOGP_GENERATIONAL,36178ec4-143f-11f1-9378-303ea725c124,Cooling,74,97,4.389738|3.000000|1.000000,0.026633739471435547,3.0,4.892997|3.000000|1.000000,4.389738|3.000000|1.000000,4.892997|3.000000|1.000000,3,70533316608.000000,N/A,2,5
MOGP_GENERATIONAL,36178ec4-143f-11f1-9378-303ea725c124,Cooling,74,98,4.389738|3.000000|1.000000,0.02645134925842285,3.0,4.892997|3.000000|1.000000,4.389738|3.000000|1.000000,4.892997|3.000000|1.000000,3,61145124864.000000,N/A,2,5
MOGP_GENERATIONAL,36178ec4-143f-11f1-9378-303ea725c124,Cooling,74,99,4.389738|3.000000|1.000000,0.026346206665039062,3.0,4.892997|3.000000|1.000000,4.389738|3.000000|1.000000,4.892997|3.000000|1.000000,3,96989986816.000000,N/A,2,5
MOGP_GENERATIONAL,36178ec4-143f-11f1-9378-303ea725c124,Cooling,74,100,4.389738|3.000000|1.000000,0.026322603225708008,3.0,4.892997|3.000000|1.000000,4.389738|3.000000|1.000000,4.892997|3.000000|1.000000,3,49971163136.000000,N/A,2,5
MOGP_GENERATIONAL,36178ec4-143f-11f1-9378-303ea725c124,Cooling,74,101,4.389738|3.000000|1.000000,0.028769254684448242,3.0,4.892997|3.000000|1.000000,4.389738|3.000000|1.000000,4.892997|3.000000|1.000000,3,111536766976.000000,N/A,2,5
