MOGP_NSGAII,b666691a-e7df-11f0-b717-6e001b3eef54,Boston,74,0,10.019363|3.000000,0.768082857131958,3.0,10.284841|3.000000,10.284841|3.000000,3,243624722432.000000,N/A,5
MOGP_NSGAII,b666691a-e7df-11f0-b717-6e001b3eef54,Boston,74,80,9.346452|3.000000,5.112613916397095,3.0,9.205783|3.000000,8.096146|5.000000,5,0.189570,N/A,5
MOGP_NSGAII,b666691a-e7df-11f0-b717-6e001b3eef54,Boston,74,81,9.346452|3.000000,5.018752098083496,3.0,9.205783|3.000000,8.096146|5.000000,5,0.189570,N/A,5
MOGP_NSGAII,b666691a-e7df-11f0-b717-6e001b3eef54,Boston,74,82,9.346452|3.000000,4.952303171157837,3.0,9.205783|3.000000,8.096146|5.000000,5,0.189570,N/A,5
MOGP_NSGAII,b666691a-e7df-11f0-b717-6e001b3eef54,Boston,74,83,9.346452|3.000000,5.084153175354004,3.0,9.205783|3.000000,8.096146|5.000000,5,0.189570,N/A,5
MOGP_NSGAII,b666691a-e7df-11f0-b717-6e001b3eef54,Boston,74,84,9.346452|3.000000,5.113909006118774,3.0,9.205783|3.000000,8.096146|5.000000,5,0.189570,N/A,5
MOGP_NSGAII,b666691a-e7df-11f0-b717-6e001b3eef54,Boston,74,85,9.346452|3.000000,5.039454221725464,3.0,9.205783|3.000000,7.377818|5.000000,5,0.218003,N/A,5
MOGP_NSGAII,b666691a-e7df-11f0-b717-6e001b3eef54,Boston,74,86,9.346452|3.000000,5.080803155899048,3.0,9.205783|3.000000,7.377818|5.000000,5,0.218003,N/A,5
MOGP_NSGAII,b666691a-e7df-11f0-b717-6e001b3eef54,Boston,74,87,9.346452|3.000000,5.190846920013428,3.0,9.205783|3.000000,7.377818|5.000000,5,0.258706,N/A,5
MOGP_NSGAII,b666691a-e7df-11f0-b717-6e001b3eef54,Boston,74,88,9.346452|3.000000,5.0382301807403564,3.0,9.205783|3.000000,7.377818|5.000000,5,0.258706,N/A,5
MOGP_NSGAII,b666691a-e7df-11f0-b717-6e001b3eef54,Boston,74,89,9.346452|3.000000,5.108019113540649,3.0,9.205783|3.000000,7.377818|5.000000,5,0.258706,N/A,5
MOGP_NSGAII,b666691a-e7df-11f0-b717-6e001b3eef54,Boston,74,90,9.346452|3.000000,5.089483022689819,3.0,9.205783|3.000000,7.377818|5.000000,5,0.258706,N/A,5
MOGP_NSGAII,b666691a-e7df-11f0-b717-6e001b3eef54,Boston,74,91,9.346452|3.000000,4.95407509803772,3.0,9.205783|3.000000,7.377818|5.000000,5,0.258706,N/A,5
MOGP_NSGAII,b666691a-e7df-11f0-b717-6e001b3eef54,Boston,74,92,9.346452|3.000000,5.064726829528809,3.0,9.205783|3.000000,7.377818|5.000000,5,0.258706,N/A,5
MOGP_NSGAII,b666691a-e7df-11f0-b717-6e001b3eef54,Boston,74,93,9.346452|3.000000,5.02109694480896,3.0,9.205783|3.000000,7.377818|5.000000,5,0.258706,N/A,5
MOGP_NSGAII,b666691a-e7df-11f0-b717-6e001b3eef54,Boston,74,94,9.346452|3.000000,5.295550346374512,3.0,9.205783|3.000000,7.377818|5.000000,5,0.258706,N/A,5
MOGP_NSGAII,b666691a-e7df-11f0-b717-6e001b3eef54,Boston,74,95,9.346452|3.000000,5.084969997406006,3.0,9.205783|3.000000,7.377818|5.000000,5,0.258706,N/A,5
