MOGP_GENERATIONAL,80b8d1d8-1447-11f1-9378-303ea725c124,Cooling,74,105,4.507786|3.000000,0.020137548446655273,3.0,4.636782|3.000000,4.507786|3.000000,4.636782|3.000000,3,100997799936.000000,N/A,1,5
MOGP_GENERATIONAL,80b8d1d8-1447-11f1-9378-303ea725c124,Cooling,74,106,4.507786|3.000000,0.01975107192993164,3.0,4.636782|3.000000,4.507786|3.000000,4.636782|3.000000,3,49997754368.000000,N/A,1,5
MOGP_GENERATIONAL,80b8d1d8-1447-11f1-9378-303ea725c124,Cooling,74,107,4.507786|3.000000,0.01865220069885254,3.0,4.636782|3.000000,4.507786|3.000000,4.636782|3.000000,3,108083879936.000000,N/A,1,5
MOGP_GENERATIONAL,80b8d1d8-1447-11f1-9378-303ea725c124,Cooling,74,108,4.507786|3.000000,0.019114971160888672,3.0,4.636782|3.000000,4.507786|3.000000,4.636782|3.000000,3,1185415936.000000,N/A,1,5
MOGP_GENERATIONAL,80b8d1d8-1447-11f1-9378-303ea725c124,Cooling,74,109,4.507786|3.000000,0.01960301399230957,3.0,4.636782|3.000000,4.507786|3.000000,4.636782|3.000000,3,44585222144.000000,N/A,1,5
MOGP_GENERATIONAL,80b8d1d8-1447-11f1-9378-303ea725c124,Cooling,74,110,4.507786|3.000000,0.02025437355041504,3.0,4.636782|3.000000,4.507786|3.000000,4.636782|3.000000,3,121551831040.000000,N/A,1,5
MOGP_GENERATIONAL,80b8d1d8-1447-11f1-9378-303ea725c124,Cooling,74,111,4.507786|3.000000,0.019954204559326172,3.0,4.636782|3.000000,4.507786|3.000000,4.636782|3.000000,3,50008084480.000000,N/A,1,5
MOGP_GENERATIONAL,80b8d1d8-1447-11f1-9378-303ea725c124,Cooling,74,112,4.507786|3.000000,0.01995372772216797,3.0,4.636782|3.000000,4.507786|3.000000,4.636782|3.000000,3,116330397696.000000,N/A,1,5
MOGP_GENERATIONAL,80b8d1d8-1447-11f1-9378-303ea725c124,Cooling,74,113,4.507786|3.000000,0.018488645553588867,3.0,4.636782|3.000000,4.507786|3.000000,4.636782|3.000000,3,68263976960.000000,N/A,1,5
MOGP_GENERATIONAL,80b8d1d8-1447-11f1-9378-303ea725c124,Cooling,74,114,4.507786|3.000000,0.01883840560913086,3.0,4.636782|3.000000,4.507786|3.000000,4.636782|3.000000,3,91451891712.000000,N/A,1,5
MOGP_GENERATIONAL,80b8d1d8-1447-11f1-9378-303ea725c124,Cooling,74,115,4.507786|3.000000,0.019133329391479492,3.0,4.636782|3.000000,4.507786|3.000000,4.636782|3.000000,3,119693279232.000000,N/A,1,5
MOGP_GENERATIONAL,80b8d1d8-1447-11f1-9378-303ea725c124,Cooling,74,116,4.507786|3.000000,0.0184628963470459,3.0,4.636782|3.000000,4.507786|3.000000,4.636782|3.000000,3,104101068800.000000,N/A,1,5
