MOGP_GENERATIONAL,7c59d162-143a-11f1-9378-303ea725c124,Cooling,74,65,4.541265|3.000000|1.000000,0.02620530128479004,3.0,4.560205|3.000000|1.000000,4.541265|3.000000|1.000000,4.560205|3.000000|1.000000,3,85307170816.000000,N/A,2,5
MOGP_GENERATIONAL,7c59d162-143a-11f1-9378-303ea725c124,Cooling,74,66,4.541265|3.000000|1.000000,0.026326894760131836,3.0,4.560205|3.000000|1.000000,4.541265|3.000000|1.000000,4.560205|3.000000|1.000000,3,79683567616.000000,N/A,2,5
MOGP_GENERATIONAL,7c59d162-143a-11f1-9378-303ea725c124,Cooling,74,67,4.541265|3.000000|1.000000,0.026637792587280273,3.0,4.560205|3.000000|1.000000,4.541265|3.000000|1.000000,4.560205|3.000000|1.000000,3,94012579840.000000,N/A,2,5
MOGP_GENERATIONAL,7c59d162-143a-11f1-9378-303ea725c124,Cooling,74,68,4.541265|3.000000|1.000000,0.026678085327148438,3.0,4.560205|3.000000|1.000000,4.541265|3.000000|1.000000,4.560205|3.000000|1.000000,3,100467490816.000000,N/A,2,5
MOGP_GENERATIONAL,7c59d162-143a-11f1-9378-303ea725c124,Cooling,74,69,4.541265|3.000000|1.000000,0.02693033218383789,3.0,4.560205|3.000000|1.000000,4.541265|3.000000|1.000000,4.560205|3.000000|1.000000,3,95769911296.000000,N/A,2,5
MOGP_GENERATIONAL,7c59d162-143a-11f1-9378-303ea725c124,Cooling,74,70,4.541265|3.000000|1.000000,0.028020381927490234,3.0,4.560205|3.000000|1.000000,4.541265|3.000000|1.000000,4.560205|3.000000|1.000000,3,128073637888.000000,N/A,2,5
MOGP_GENERATIONAL,7c59d162-143a-11f1-9378-303ea725c124,Cooling,74,71,4.541265|3.000000|1.000000,0.02597784996032715,3.0,4.560205|3.000000|1.000000,4.541265|3.000000|1.000000,4.560205|3.000000|1.000000,3,116442128384.000000,N/A,2,5
MOGP_GENERATIONAL,7c59d162-143a-11f1-9378-303ea725c124,Cooling,74,72,4.541265|3.000000|1.000000,0.02605605125427246,3.0,4.560205|3.000000|1.000000,4.541265|3.000000|1.000000,4.560205|3.000000|1.000000,3,73787105280.000000,N/A,2,5
MOGP_GENERATIONAL,7c59d162-143a-11f1-9378-303ea725c124,Cooling,74,73,4.541265|3.000000|1.000000,0.027837276458740234,3.0,4.560205|3.000000|1.000000,4.541265|3.000000|1.000000,4.560205|3.000000|1.000000,3,74486964224.000000,N/A,2,5
MOGP_GENERATIONAL,7c59d162-143a-11f1-9378-303ea725c124,Cooling,74,74,4.541265|3.000000|1.000000,0.02774333953857422,3.0,4.560205|3.000000|1.000000,4.541265|3.000000|1.000000,4.560205|3.000000|1.000000,3,101681078272.000000,N/A,2,5
MOGP_GENERATIONAL,7c59d162-143a-11f1-9378-303ea725c124,Cooling,74,75,4.541265|3.000000|1.000000,0.025500059127807617,3.0,4.560205|3.000000|1.000000,4.541265|3.000000|1.000000,4.560205|3.000000|1.000000,3,62270156800.000000,N/A,2,5
MOGP_GENERATIONAL,7c59d162-143a-11f1-9378-303ea725c124,Cooling,74,76,4.541265|3.000000|1.000000,0.026768207550048828,3.0,4.560205|3.000000|1.000000,4.541265|3.000000|1.000000,4.560205|3.000000|1.000000,3,65883242496.000000,N/A,2,5
MOGP_GENERATIONAL,7c59d162-143a-11f1-9378-303ea725c124,Cooling,74,77,4.541265|3.000000|1.000000,0.027211904525756836,3.0,4.560205|3.000000|1.000000,4.541265|3.000000|1.000000,4.560205|3.000000|1.000000,3,87111770112.000000,N/A,2,5
MOGP_GENERATIONAL,7c59d162-143a-11f1-9378-303ea725c124,Cooling,74,78,4.541265|3.000000|1.000000,0.027650117874145508,3.0,4.560205|3.000000|1.000000,4.541265|3.000000|1.000000,4.560205|3.000000|1.000000,3,117066792960.000000,N/A,2,5
MOGP_GENERATIONAL,7c59d162-143a-11f1-9378-303ea725c124,Cooling,74,79,4.541265|3.000000|1.000000,0.027020931243896484,3.0,4.560205|3.000000|1.000000,4.541265|3.000000|1.000000,4.560205|3.000000|1.000000,3,99498467328.000000,N/A,2,5
MOGP_GENERATIONAL,7c59d162-143a-11f1-9378-303ea725c124,Cooling,74,80,4.541265|3.000000|1.000000,0.027770042419433594,3.0,4.560205|3.000000|1.000000,4.541265|3.000000|1.000000,4.560205|3.000000|1.000000,3,93479542784.000000,N/A,2,5
MOGP_GENERATIONAL,7c59d162-143a-11f1-9378-303ea725c124,Cooling,74,81,4.541265|3.000000|1.000000,0.026271343231201172,3.0,4.560205|3.000000|1.000000,4.541265|3.000000|1.000000,4.560205|3.000000|1.000000,3,128052649984.000000,N/A,2,5
MOGP_GENERATIONAL,7c59d162-143a-11f1-9378-303ea725c124,Cooling,74,82,4.541265|3.000000|1.000000,0.0266721248626709,3.0,4.560205|3.000000|1.000000,4.541265|3.000000|1.000000,4.560205|3.000000|1.000000,3,111634374656.000000,N/A,2,5
MOGP_GENERATIONAL,7c59d162-143a-11f1-9378-303ea725c124,Cooling,74,83,4.541265|3.000000|1.000000,0.027423858642578125,3.0,4.560205|3.000000|1.000000,4.541265|3.000000|1.000000,4.560205|3.000000|1.000000,3,115584671744.000000,N/A,2,5
MOGP_GENERATIONAL,7c59d162-143a-11f1-9378-303ea725c124,Cooling,74,84,4.541265|3.000000|1.000000,0.027026653289794922,3.0,4.560205|3.000000|1.000000,4.541265|3.000000|1.000000,4.560205|3.000000|1.000000,3,82528583680.000000,N/A,2,5
MOGP_GENERATIONAL,7c59d162-143a-11f1-9378-303ea725c124,Cooling,74,85,4.541265|3.000000|1.000000,0.026757240295410156,3.0,4.560205|3.000000|1.000000,4.541265|3.000000|1.000000,4.560205|3.000000|1.000000,3,78780809216.000000,N/A,2,5
MOGP_GENERATIONAL,7c59d162-143a-11f1-9378-303ea725c124,Cooling,74,86,4.541265|3.000000|1.000000,0.026277780532836914,3.0,4.560205|3.000000|1.000000,4.541265|3.000000|1.000000,4.560205|3.000000|1.000000,3,118247874560.000000,N/A,2,5
MOGP_GENERATIONAL,7c59d162-143a-11f1-9378-303ea725c124,Cooling,74,87,4.541265|3.000000|1.000000,0.02797722816467285,3.0,4.560205|3.000000|1.000000,4.541265|3.000000|1.000000,4.560205|3.000000|1.000000,3,94511472640.000000,N/A,2,5
MOGP_GENERATIONAL,7c59d162-143a-11f1-9378-303ea725c124,Cooling,74,88,4.541265|3.000000|1.000000,0.02643418312072754,3.0,4.560205|3.000000|1.000000,4.541265|3.000000|1.000000,4.560205|3.000000|1.000000,3,70533652480.000000,N/A,2,5
MOGP_GENERATIONAL,7c59d162-143a-11f1-9378-303ea725c124,Cooling,74,89,4.541265|3.000000|1.000000,0.02745676040649414,3.0,4.560205|3.000000|1.000000,4.541265|3.000000|1.000000,4.560205|3.000000|1.000000,3,69082701824.000000,N/A,2,5
MOGP_GENERATIONAL,7c59d162-143a-11f1-9378-303ea725c124,Cooling,74,90,4.541265|3.000000|1.000000,0.026257038116455078,3.0,4.560205|3.000000|1.000000,4.541265|3.000000|1.000000,4.560205|3.000000|1.000000,3,70533275648.000000,N/A,2,5
MOGP_GENERATIONAL,7c59d162-143a-11f1-9378-303ea725c124,Cooling,74,91,4.541265|3.000000|1.000000,0.026822328567504883,3.0,4.560205|3.000000|1.000000,4.541265|3.000000|1.000000,4.560205|3.000000|1.000000,3,97194328064.000000,N/A,2,5
MOGP_GENERATIONAL,7c59d162-143a-11f1-9378-303ea725c124,Cooling,74,92,4.541265|3.000000|1.000000,0.02707386016845703,3.0,4.560205|3.000000|1.000000,4.541265|3.000000|1.000000,4.560205|3.000000|1.000000,3,24192839680.000000,N/A,2,5
MOGP_GENERATIONAL,7c59d162-143a-11f1-9378-303ea725c124,Cooling,74,93,4.541265|3.000000|1.000000,0.026394128799438477,3.0,4.560205|3.000000|1.000000,4.541265|3.000000|1.000000,4.560205|3.000000|1.000000,3,1373676.000000,N/A,2,5
MOGP_GENERATIONAL,7c59d162-143a-11f1-9378-303ea725c124,Cooling,74,94,4.541265|3.000000|1.000000,0.02737593650817871,3.0,4.560205|3.000000|1.000000,4.541265|3.000000|1.000000,4.560205|3.000000|1.000000,3,96879878144.000000,N/A,2,5
MOGP_GENERATIONAL,7c59d162-143a-11f1-9378-303ea725c124,Cooling,74,95,4.541265|3.000000|1.000000,0.0268709659576416,3.0,4.560205|3.000000|1.000000,4.541265|3.000000|1.000000,4.560205|3.000000|1.000000,3,48240058368.000000,N/A,2,5
MOGP_GENERATIONAL,7c59d162-143a-11f1-9378-303ea725c124,Cooling,74,96,4.541265|3.000000|1.000000,0.02735304832458496,3.0,4.560205|3.000000|1.000000,4.541265|3.000000|1.000000,4.560205|3.000000|1.000000,3,120907939840.000000,N/A,2,5
MOGP_GENERATIONAL,7c59d162-143a-11f1-9378-303ea725c124,Cooling,74,97,4.541265|3.000000|1.000000,0.026657819747924805,3.0,4.560205|3.000000|1.000000,4.541265|3.000000|1.000000,4.560205|3.000000|1.000000,3,70533308416.000000,N/A,2,5
MOGP_GENERATIONAL,7c59d162-143a-11f1-9378-303ea725c124,Cooling,74,98,4.541265|3.000000|1.000000,0.02635502815246582,3.0,4.560205|3.000000|1.000000,4.541265|3.000000|1.000000,4.560205|3.000000|1.000000,3,61296291840.000000,N/A,2,5
MOGP_GENERATIONAL,7c59d162-143a-11f1-9378-303ea725c124,Cooling,74,99,4.541265|3.000000|1.000000,0.02639174461364746,3.0,4.560205|3.000000|1.000000,4.541265|3.000000|1.000000,4.560205|3.000000|1.000000,3,96657104896.000000,N/A,2,5
MOGP_GENERATIONAL,7c59d162-143a-11f1-9378-303ea725c124,Cooling,74,100,4.541265|3.000000|1.000000,0.026271820068359375,3.0,4.560205|3.000000|1.000000,4.541265|3.000000|1.000000,4.560205|3.000000|1.000000,3,49970827264.000000,N/A,2,5
MOGP_GENERATIONAL,7c59d162-143a-11f1-9378-303ea725c124,Cooling,74,101,4.541265|3.000000|1.000000,0.028551816940307617,3.0,4.560205|3.000000|1.000000,4.541265|3.000000|1.000000,4.560205|3.000000|1.000000,3,111801556992.000000,N/A,2,5
